Alagoas | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2021],&Aacute;rea Territorial - km&sup2; [2022],Popula&ccedil;&atilde;o residente - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2020],Receitas realizadas - R$ (&times;1000) [2017],Despesas empenhadas - R$ (&times;1000) [2017],PIB per capita - R$ [2020],
&Aacute;gua Branca,2700102,&aacute;gua-branquense,JOSE CARLOS DE CARVALHO,468.229,19008,40.60,97,0.549,22.06,48527.4317,43341.73304,8238.26,
Anadia,2700201,anadiense,JOS&Eacute; CELINO RIBEIRO DE LIMA,186.134,13811,74.20,94.4,0.568,9.8,60458.85909,15188.73683,13262.36,
Arapiraca,2700300,arapiraquense,JOS&Eacute; LUCIANO BARBOSA DA SILVA,345.655,234696,678.99,95.9,0.649,11.35,589893.31826,541162.1901,22457.59,
Atalaia,2700409,atalaiense,CEC&Iacute;LIA LIMA HERRMANN ROCHA,533.258,37512,70.34,92.5,0.561,12.46,110965.4657,105758.03985,22740.67,
Barra de Santo Ant&ocirc;nio,2700508,barrense,LIVIA CARLA DA SILVA ALVES,131.364,16365,124.58,93.3,0.557,6.9,42214.8473,31190.58911,12730.82,
Barra de S&atilde;o Miguel,2700607,barrense,BENEDITO DE LIRA,74.247,7944,106.99,96.2,0.615,-,34324.33075,30000.38108,27139.88,
Batalha,2700706,batalhense,MARINA THEREZA CINTRA DANTAS,315.870,16448,52.07,95.9,0.594,15.94,53185.33831,49101.41207,10398.74,
Bel&eacute;m,2700805,belenense,ANA PAULA ANTERO SANTA ROSA BARBOSA,66.628,4722,70.87,97.5,0.593,11.11,N&atilde;o informado,N&atilde;o informado,41829.47,
Belo Monte,2700904,belo-montense,DALMO AUGUSTO DE ALMEIDA JUNIOR,334.136,5936,17.77,96.3,0.517,10.99,22674.1999,22434.31768,17345.78,
Boca da Mata,2701001,matense,BRUNO FEIJO TEIXEIRA,193.002,21187,109.78,95.3,0.604,20.83,67278.8849,71328.07249,16468.48,
Branquinha,2701100,branquinhense,RAIMUNDO JOS&Eacute; DE FREITAS LOPES,168.048,9603,57.14,90,0.513,34.68,32873.09908,31876.10317,66043.78,
Cacimbinhas,2701209,cacimbinhense,HUGO WANDERLEY CAJU,281.692,10476,37.19,96.5,0.531,12.42,31967.53232,31708.31177,10641.61,
Cajueiro,2701308,cajueirense,LUCILA REGIA ALBUQUERQUE TOLEDO,94.357,16024,169.82,96.2,0.562,16.39,59318.49898,58018.04436,9090.52,
Campestre,2701357,camprestrense,NIELSON MENDES DA SILVA,65.910,6665,101.12,95.5,0.559,9.8,19684.13304,20007.4687,8883.63,
Campo Alegre,2701407,campo-alegrense,NICOLAS TEIXEIRA TAVARES PEREIRA,312.726,32106,102.66,91.1,0.570,7.66,106959.15202,104559.81031,10536.12,
Campo Grande,2701506,campo-grandense,TEOGENES HIGINO MELO LESSA,170.144,8142,47.85,96.3,0.524,32,25870.74389,29541.60469,9518.34,
Canapi,2701605,canapiense,VIN&Iacute;CIUS JOS&Eacute; MARIANO DE LIMA,602.778,15559,25.81,97.5,0.506,23.17,48040.86731,46949.48524,7612.16,
Capela,2701704,capelense,ADELMO MOREIRA CALHEIROS,263.735,15032,57.00,93,0.573,9.05,49802.32342,51060.47982,12590.31,
Carneiros,2701803,carneirense,GERALDO NOVAIS AGRA FILHO,111.696,8999,80.57,96.2,0.526,6.45,21801.98846,19845.0974,7729.22,
Ch&atilde; Preta,2701902,ch&atilde;-pretense,MAUR&Iacute;CIO DE VASCONCELOS HOLANDA,157.831,5910,37.45,97.6,0.575,-,28167.94299,22980.0838,18480.68,
Coit&eacute; do N&oacute;ia,2702009,coitenense,BUENO HIGINO DE SOUZA SILVA,88.759,10810,121.79,96.4,0.533,13.33,29951.79223,30176.34858,13856.04,
Col&ocirc;nia Leopoldina,2702108,leopoldinense,MANUILSON ANDRADE SANTOS,207.935,15816,76.06,92.6,0.517,10.53,51515.69853,50264.62247,16893.01,
Coqueiro Seco,2702207,coqueirense,MARIA DECELE DAMASO DE ALMEIDA,39.608,5581,140.91,95.7,0.586,26.32,26354.15421,24716.30858,13270.19,
Coruripe,2702306,coruripense,MARCELO BELTR&Atilde;O SIQUEIRA,897.800,50414,56.15,97.6,0.626,15.83,183316.07766,166089.21011,30292.95,
Cra&iacute;bas,2702355,craibense,TEOFILO JOSE BARROSO PEREIRA,278.879,25397,91.07,96.5,0.525,14.29,57049.87433,51440.61594,13028.75,
Delmiro Gouveia,2702405,delmirense,ELIZIANE FERREIRA COSTA,628.545,51319,81.65,96.1,0.612,6.43,101820.85947,108857.6951,11926.88,
Dois Riachos,2702504,riachense,RAMON CAMILO SILVA,141.621,9805,69.23,93.9,0.532,6.8,31647.09076,28802.73703,7782.05,
Estrela de Alagoas,2702553,estrelense,ALDO LIRA DE JESUS,260.772,15429,59.17,96.7,0.534,-,56328.65301,45959.24905,6958.08,
Feira Grande,2702603,feira-grandense,FLAVIO RANGEL APOSTOLO LIRA,175.906,22712,129.11,94.8,0.533,6.19,49390.46852,42712.90565,15792.72,
Feliz Deserto,2702702,feliz-desertense,ROSIANA LIMA BELTR&Atilde;O SIQUEIRA,110.062,3963,36.01,96.5,0.565,12.5,19437.65174,15753.56476,26532.93,
Flexeiras,2702801,flexeirense,SILVANA MARIA CAVALCANTE DA COSTA PINTO,333.756,9618,28.82,95.8,0.527,11.36,N&atilde;o informado,N&atilde;o informado,21077.60,
Girau do Ponciano,2702900,girauense,DAVID RAMOS DE BARROS,513.454,36102,70.31,94.3,0.536,6.96,90808.68089,83606.57081,11691.21,
