"Posição","Nome","Localidade","2017-2018","Unidade","Multiplicador"
"1","Análise do Consumo Alimentar Pessoal",,,"",""
"1.1","Participação dos grupos de alimentos no total de calorias",,,"",""
"1.1.1","Grupos de alimentos",,,"",""
"1.1.1.1","Total",,,"",""
"1.1.1.1.1","Alimentos in natura ou minimamente processados",,,"%",1
"1.1.1.1.2","Ingredientes culinários processados",,,"%",1
"1.1.1.1.3","Alimentos processados",,,"%",1
"1.1.1.1.4","Alimentos ultraprocessados",,,"%",1
"1.1.1.2","Sexo",,,"",""
"1.1.1.2.1","Homem",,,"",""
"1.1.1.2.1.1","Alimentos in natura ou minimamente processados",,,"%",1
"1.1.1.2.1.2","Ingredientes culinários processados",,,"%",1
"1.1.1.2.1.3","Alimentos processados",,,"%",1
"1.1.1.2.1.4","Alimentos ultraprocessados",,,"%",1
"1.1.1.2.2","Mulher",,,"",""
"1.1.1.2.2.1","Alimentos in natura ou minimamente processados",,,"%",1
"1.1.1.2.2.2","Ingredientes culinários processados",,,"%",1
"1.1.1.2.2.3","Alimentos processados",,,"%",1
"1.1.1.2.2.4","Alimentos ultraprocessados",,,"%",1
"1.1.1.3","Grupos de idade",,,"",""
"1.1.1.3.1","10 a 18 anos",,,"",""
"1.1.1.3.1.1","Alimentos in natura ou minimamente processados",,,"%",1
"1.1.1.3.1.2","Ingredientes culinários processados",,,"%",1
"1.1.1.3.1.3","Alimentos processados",,,"%",1
"1.1.1.3.1.4","Alimentos ultraprocessados",,,"%",1
"1.1.1.3.2","19 a 59 anos",,,"",""
"1.1.1.3.2.1","Alimentos in natura ou minimamente processados",,,"%",1
"1.1.1.3.2.2","Ingredientes culinários processados",,,"%",1
"1.1.1.3.2.3","Alimentos processados",,,"%",1
"1.1.1.3.2.4","Alimentos ultraprocessados",,,"%",1
"1.1.1.3.3","60 anos ou mais",,,"",""
"1.1.1.3.3.1","Alimentos in natura ou minimamente processados",,,"%",1
"1.1.1.3.3.2","Ingredientes culinários processados",,,"%",1
"1.1.1.3.3.3","Alimentos processados",,,"%",1
"1.1.1.3.3.4","Alimentos ultraprocessados",,,"%",1
"2","Segurança Alimentar",,,"",""
"2.1","Domicílios particulares permanentes","Rondônia","571","domicílios",1000
"2.1","Domicílios particulares permanentes","Acre","234","domicílios",1000
"2.1","Domicílios particulares permanentes","Amazonas","1014","domicílios",1000
"2.1","Domicílios particulares permanentes","Roraima","138","domicílios",1000
"2.1","Domicílios particulares permanentes","Pará","2347","domicílios",1000
"2.1","Domicílios particulares permanentes","Amapá","209","domicílios",1000
"2.1","Domicílios particulares permanentes","Tocantins","484","domicílios",1000
"2.1","Domicílios particulares permanentes","Maranhão","1971","domicílios",1000
"2.1","Domicílios particulares permanentes","Piauí","1018","domicílios",1000
"2.1","Domicílios particulares permanentes","Ceará","2830","domicílios",1000
"2.1","Domicílios particulares permanentes","Rio Grande do Norte","1079","domicílios",1000
"2.1","Domicílios particulares permanentes","Paraíba","1264","domicílios",1000
"2.1","Domicílios particulares permanentes","Pernambuco","3014","domicílios",1000
"2.1","Domicílios particulares permanentes","Alagoas","1028","domicílios",1000
"2.1","Domicílios particulares permanentes","Sergipe","749","domicílios",1000
"2.1","Domicílios particulares permanentes","Bahia","4897","domicílios",1000
"2.1","Domicílios particulares permanentes","Minas Gerais","7149","domicílios",1000
"2.1","Domicílios particulares permanentes","Espírito Santo","1385","domicílios",1000
"2.1","Domicílios particulares permanentes","Rio de Janeiro","5934","domicílios",1000
"2.1","Domicílios particulares permanentes","São Paulo","15585","domicílios",1000
