Bahia | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2021],&Aacute;rea Territorial - km&sup2; [2022],Popula&ccedil;&atilde;o residente - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2020],Receitas realizadas - R$ (&times;1000) [2017],Despesas empenhadas - R$ (&times;1000) [2017],PIB per capita - R$ [2020],
Aba&iacute;ra,2900108,abairense,EDVAL LUZ SILVA,538.677,7301,13.55,97.2,0.603,21.74,19330.58368,18286.42314,7734.24,
Abar&eacute;,2900207,abareense,FERNANDO JOSE TEIXEIRA TOLENTINO,1604.923,17639,10.99,96.5,0.575,9.43,42471.16812,42835.65272,8479.67,
Acajutiba,2900306,acajutibense,ALEXSANDRO MENEZES DE FREITAS,181.475,13795,76.02,98,0.582,25.16,32322.40145,31257.68537,9048.86,
Adustina,2900355,adustinense,PAULO SERGIO OLIVEIRA DOS SANTOS,629.099,14200,22.57,98.1,0.546,20.98,33518.91406,29163.99544,17815.37,
&Aacute;gua Fria,2900405,&aacute;gua-friense,RENAN ARAUJO BARROS,742.775,14497,19.52,97,0.550,7.87,40463.75677,39741.1561,8400.43,
&Eacute;rico Cardoso,2900504,&eacute;rico-cardosense,ERALDO F&Eacute;LIX DA SILVA,735.249,10604,14.42,98.8,0.584,27.78,25842.85175,24637.11888,6888.23,
Aiquara,2900603,aiquarense,DELMAR RIBEIRO,167.877,4446,26.48,98.4,0.583,-,15908.16508,13995.20875,10611.71,
Alagoinhas,2900702,alagoinhense,JOAQUIM BELARMINO CARDOSO NETO,707.835,151065,213.42,97.4,0.683,11.7,357419.91897,319462.74958,29241.79,
Alcoba&ccedil;a,2900801,alcobacense,GIVALDO MUNIZ,1477.929,24530,16.60,96.5,0.608,6.01,50627.98373,53604.60982,13596.94,
Almadina,2900900,almadinense,MILTON SILVA CERQUEIRA,245.236,5218,21.28,95.3,0.563,50.85,17495.20557,14754.30679,10896.70,
Amargosa,2901007,amargosense,J&Uacute;LIO PINHEIRO DOS SANTOS J&Uacute;NIOR,431.655,36522,84.61,96.8,0.625,2.18,63402.10611,57123.31855,11139.47,
Am&eacute;lia Rodrigues,2901106,ameliense,JO&Atilde;O MANOEL BAHIA MENEZES,166.872,24138,144.65,99.2,0.666,28.57,64865.97567,50406.69731,14630.25,
Am&eacute;rica Dourada,2901155,am&eacute;rico-douradense,JOELSON CARDOSO DO ROS&Aacute;RIO,822.373,15137,18.41,96.6,0.561,23.92,38585.45557,35184.13685,9205.04,
Anag&eacute;,2901205,anageense,ROGERIO BONFIM SOARES,1899.683,25438,13.39,96,0.540,20.75,47758.835,44111.71088,9177.17,
Andara&iacute;,2901304,andaraiense,WILSON PAES CARDOSO,1590.316,13080,8.22,97.8,0.555,22.22,37286.40876,35402.28578,8934.80,
Andorinha,2901353,andorinhense,RENATO BRAND&Atilde;O DE OLIVEIRA,1362.386,15012,11.02,98,0.588,11.3,41097.00995,41307.78564,14014.30,
Angical,2901403,angicalense,EMERSON MARIANI DIAS,1530.050,13732,8.97,96.9,0.625,21.74,35075.99781,32587.16641,11449.80,
Anguera,2901502,anguerense,MAURO SELMO OLIVEIRA VIEIRA,187.840,11031,58.73,98.2,0.589,37.74,24305.57887,21757.55072,6934.89,
Antas,2901601,antense,MANOEL SIDONIO NASCIMENTO NILO,319.745,14206,44.43,94.3,0.592,13.07,33697.6196,31374.63216,7344.67,
Ant&ocirc;nio Cardoso,2901700,cardosense,MARIA DE LOURDES CARVALHO MOURA BASTOS,293.530,11146,37.97,95.8,0.561,21.28,26978.05908,29852.7557,9411.14,
Ant&ocirc;nio Gon&ccedil;alves,2901809,ant&ocirc;nio-gon&ccedil;alvense,DJALMA DE FREITAS CARDOSO NETO,345.284,10862,31.46,98.4,0.598,6.25,27262.32163,25236.58554,6780.89,
Apor&aacute;,2901908,aporense,CARINE DANTAS DE MENEZES NEGREIROS,479.262,15930,33.24,97.6,0.548,5.92,68717.29437,50045.7121,7845.03,
Apuarema,2901957,apuaremense,JORGE ROGERIO COSTA SOUZA,150.830,6913,45.83,95.9,0.552,9.71,19781.94216,20934.67448,9413.08,
Aracatu,2902005,aracatuense,BRAULINA LIMA SILVA,1489.803,13936,9.35,97.7,0.581,12.66,34674.69988,31359.75377,9598.43,
Ara&ccedil;&aacute;s,2902054,ara&ccedil;aense,AGAMENON OLIVEIRA COELHO,474.577,11557,24.35,98.1,0.570,13.25,42985.07489,39520.18435,16898.14,
Araci,2902104,araciense,MARIA BETIVANIA LIMA DA SILVA,1496.245,48035,32.10,97.4,0.534,12.1,104996.09194,102013.64078,8552.72,
Aramari,2902203,aramariense,FIDEL CARLOS SOUZA DANTAS,368.947,9833,26.65,96.3,0.588,-,23718.87023,21221.15801,8628.55,
Arataca,2902252,arataquense,FERNANDO MANSUR GONZAGA,435.962,10191,23.38,95.6,0.559,7.19,27011.70541,27502.1615,9105.00,
Aratu&iacute;pe,2902302,aratuipense,ANTONIO MARCOS ARAUJO DE SOUZA,174.012,8677,49.86,98.4,0.575,37.04,18702.70458,17462.23993,8442.81,
Aurelino Leal,2902401,aurelinense,RODRIGO CALAZANS DE ANDRADE,445.394,11179,25.10,95.5,0.568,31.58,31326.74233,31148.26058,10682.84,
Baian&oacute;polis,2902500,baianopolense,JANDIRA SOARES SILVA XAVIER,3320.723,13614,4.10,98.7,0.589,-,35529.72286,32558.04391,16742.34,
