Goi&aacute;s | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2021],&Aacute;rea Territorial - km&sup2; [2022],Popula&ccedil;&atilde;o residente - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2020],Receitas realizadas - R$ (&times;1000) [2017],Despesas empenhadas - R$ (&times;1000) [2017],PIB per capita - R$ [2020],
Abadia de Goi&aacute;s,5200050,abadiense,WANDER SARAIVA DE CARVALHO,143.357,19128,133.43,97.2,0.708,11.81,35644.53804,30190.8877,31181.96,
Abadi&acirc;nia,5200100,abadianense,JOS&Eacute; APARECIDO ALVES DINIZ,1044.555,17228,16.49,94.3,0.689,32.09,45743.81048,40518.07995,20179.10,
Acre&uacute;na,5200134,acreunense,CLAUDIOMAR CONTIN PORTUGAL,1566.742,21568,13.77,97.1,0.686,19.76,69963.05917,64395.62778,35669.65,
Adel&acirc;ndia,5200159,adelandense,EDSON VIEIRA DE PAULA,115.385,2297,19.91,100,0.702,-,12780.34678,11340.786,16858.06,
&Aacute;gua Fria de Goi&aacute;s,5200175,&aacute;gua-friense,JOS&Eacute; EDUARDO OLIVEIRA NETO,2023.636,4954,2.45,97.4,0.671,-,18592.62308,17048.44293,60314.60,
&Aacute;gua Limpa,5200209,&aacute;gua-limpense,JOS&Eacute; CARLOS GUIMAR&Atilde;ES FILHO,458.836,1851,4.03,97.4,0.722,-,15934.6702,13860.20279,29853.12,
&Aacute;guas Lindas de Goi&aacute;s,5200258,&aacute;guas lindense,LUCAS DE CARVALHO ANTONIETTI,191.817,225671,1176.49,96.6,0.686,9.57,318867.71233,261959.13942,9594.73,
Alex&acirc;nia,5200308,alexaniense,ALLYSSON SILVA LIMA,846.876,27008,31.89,97,0.682,2.43,73422.68484,67957.2004,35507.95,
Alo&acirc;ndia,5200506,aloandense,RENATO BATISTA DA SILVA,102.094,1973,19.33,98.1,0.697,-,13201.27554,10952.0547,27304.40,
Alto Horizonte,5200555,alto horizontino,LUIZ BORGES DA CRUZ,500.342,6072,12.14,97,0.719,8.2,69116.92295,54918.72124,119081.22,
Alto Para&iacute;so de Goi&aacute;s,5200605,alto-paraisense,MARCUS ADILSON RINCO,2594.998,10298,3.97,98,0.713,28.78,28163.12745,24889.05869,29784.01,
Alvorada do Norte,5200803,alvoradense,IOLANDA HOLICENI MOREIRA DOS SANTOS,1268.347,8446,6.66,98,0.660,14.08,29941.35374,25461.49669,17801.21,
Amaralina,5200829,amaralinense,DASIO MARQUES FERREIRA,1343.742,3268,2.43,92.2,0.609,-,16252.58399,14383.88094,22883.25,
Americano do Brasil,5200852,americanense-do-Brasil,MORETSON DA SILVA BORGES,133.834,5259,39.29,97.4,0.700,-,14738.77499,13424.40813,13022.31,
Amorin&oacute;polis,5200902,amorinopolense,GUSTAVO SILVA DE OLIVEIRA,406.930,3007,7.39,98.4,0.681,-,13814.4434,12717.50524,26012.30,
An&aacute;polis,5201108,anapolino,ROBERTO NAVES E SIQUEIRA,935.672,398817,426.24,96.3,0.737,11.02,1023805.91977,1030856.11056,39019.61,
Anhanguera,5201207,anhanguerino,MARCELO MARTINS DE PAIVA,55.569,924,16.63,100,0.725,-,12037.81074,11096.04417,19277.31,
Anicuns,5201306,anicuense,PAULO CESAR JOSE DO NASCIMENTO,976.038,18503,18.96,98.4,0.714,5.24,73589.95641,50672.12445,20696.77,
Aparecida de Goi&acirc;nia,5201405,aparecidense,GUSTAVO MENDANHA MELO,279.954,527550,1884.42,95.3,0.718,14.15,1074025.74531,903381.9826,25173.46,
Aparecida do Rio Doce,5201454,riodocense,EDY CARLOS GON&Ccedil;ALVES,603.254,2907,4.82,93.3,0.693,-,19127.66933,18960.881,37682.45,
Apor&eacute;,5201504,aporeano,RENATO SIROTTO CARVALHO,2899.237,4325,1.49,99.1,0.693,39.22,30816.71296,27852.47774,73022.16,
Ara&ccedil;u,5201603,ara&ccedil;uense,MILTON LEMES DE PAULA,149.776,3799,25.36,99,0.693,-,14893.57757,12680.21201,19584.50,
Aragar&ccedil;as,5201702,aragarcense,RICARDO GALV&Atilde;O DE SOUSA,661.677,18390,27.79,98.3,0.732,15.08,37360.04907,32630.07277,12568.04,
Aragoi&acirc;nia,5201801,aragoianense,JOSE GARCIA DE SOUZA,218.125,11890,54.51,98,0.684,-,26718.64341,24529.41229,14120.38,
Araguapaz,5202155,araguapaense,GABRIEL FORNIELES MOREIRA,2188.100,7153,3.27,97.8,0.674,39.22,21196.22081,19087.9606,19084.18,
Aren&oacute;polis,5202353,arenopolino,DELMIRO DE OLIVEIRA CANO,1075.535,2946,2.74,100,0.687,27.03,15422.35179,13911.34783,70062.81,
Aruan&atilde;,5202502,aruanense,HERMANO DE CARVALHO,3054.773,8300,2.72,97.5,0.675,20.62,30834.56862,25799.19592,22638.85,
Auril&acirc;ndia,5202601,aurilandense,MARIA APARECIDA MAGALHAES FURTADO MACEDO,565.514,3284,5.81,97.5,0.700,-,15499.30472,13954.3068,23700.38,
Avelin&oacute;polis,5202809,avelinopense,ADRIANO DE ARA&Uacute;JO,170.228,2868,16.85,97.9,0.660,-,13912.11202,11808.83597,24346.91,
Baliza,5203104,balizense,FERNANDA NOLASCO VANDERLEY OLIVEIRA,1780.173,3351,1.88,98.6,0.655,-,17210.45043,14545.0844,18025.66,
Barro Alto,5203203,barro-altense,&Agrave;LVARO MACHADO DE FREITAS,1080.268,10371,9.60,99,0.742,6.17,56611.85395,59366.72461,133652.60,
Bela Vista de Goi&aacute;s,5203302,bela-vistense,N&Aacute;RCIA KELLY ALVES DA SILVA,1274.034,34445,27.04,98.3,0.716,12.66,86393.60111,70653.03762,43338.72,
Bom Jardim de Goi&aacute;s,5203401,bom-jardinense,ODAIR SIVIRINO LEONEL,1901.137,7826,4.12,98.1,0.670,-,22709.94019,20149.34253,20946.02,
Bom Jesus de Goi&aacute;s,5203500,bom-jesuense,ADAIR HENRIQUES DA SILVA,1405.605,23958,17.04,98.4,0.701,6.31,73377.5673,64617.64484,36395.07,
Bonfin&oacute;polis,5203559,bonfinopolino,KELTON PINHEIRO,121.915,10296,84.45,98.8,0.683,36.36,21802.12958,17835.3908,10699.38,
Bon&oacute;polis,5203575,bonopolino,DEOCLECIANO ARAUJO DE LIRA,1635.319,3299,2.02,98.1,0.630,-,17951.60413,14709.24839,25564.79,
Brazabrantes,5203609,brazabrantino,JOS&Eacute; TOM&Eacute; CORREIA FILHO,125.326,3992,31.85,99.2,0.701,-,14759.27793,13235.59474,21961.60,
Brit&acirc;nia,5203807,britaniense,MARCONNI PIMENTA DA SILVA,1458.459,5695,3.90,97.6,0.672,-,19559.58609,19161.63681,27591.86,
Buriti Alegre,5203906,buriti-alegrense,ANDRE DE SOUSA CHAVES,901.932,10495,11.64,96.9,0.710,8.2,32074.18418,28123.91955,40047.39,
Buriti de Goi&aacute;s,5203939,buritiense,&Aacute;TILA R&Uacute;BIA DE DEUS,202.576,2732,13.49,99.4,0.687,34.48,17388.40977,13327.08416,20123.48,
Buritin&oacute;polis,5203962,buritinopolense,ANA PAULA SOARES DOURADO,246.075,3145,12.78,98.7,0.704,-,15817.31403,14512.07849,25794.18,
Cabeceiras,5204003,cabeceirense,EVERTON FRANCISCO DE MATOS,1126.434,7560,6.71,96.4,0.668,-,20845.41385,19154.69182,38641.46,
Cachoeira Alta,5204102,cachoeira-altense,MARCELO BATISTA DE PAULA,1657.226,11513,6.95,98,0.710,19.48,35319.35061,33587.46256,22689.57,
Cachoeira de Goi&aacute;s,5204201,cachoeirense,GERALDO ANT&Ocirc;NIO NETO,424.490,1405,3.31,100,0.727,-,12269.89874,10414.87852,25156.27,
Cachoeira Dourada,5204250,cachoeirense-do-sul,RODRIGO RODRIGUES ALMEIDA,528.281,7782,14.73,98.8,0.698,10.87,54504.40839,48741.06561,51392.55,
Ca&ccedil;u,5204300,ca&ccedil;uense,ANA CLAUDIA LEMOS OLIVEIRA,2254.340,13774,6.11,98.7,0.730,12.42,64607.71671,57664.49092,55809.47,
Caiap&ocirc;nia,5204409,caiaponiense,ARGEMIRO RODRIGUES SANTOS NETO,8627.961,16507,1.91,97.2,0.693,5.75,53434.25777,45430.20004,29921.85,
Caldas Novas,5204508,calda-novense,KLEBER LUIZ MARRA,1608.523,98622,61.31,97.3,0.733,10.11,256050.46736,246501.15303,27373.02,
Caldazinha,5204557,caldazinhense,SOLANGE MARIA GOUVEIA CASTRO,251.720,4507,17.90,93.3,0.685,-,14178.97745,12820.47688,19717.97,
Campestre de Goi&aacute;s,5204607,campestrino,FABIANO QUEIROZ CAPUZZO,272.734,3755,13.77,97.7,0.653,44.44,14697.20967,12279.7235,16453.06,
Campina&ccedil;u,5204656,campina&ccedil;uense,DOUGLAS ADYEL RIBEIRO DE FARIA,1978.386,3708,1.87,93.5,0.631,-,17305.12283,8753.94581,21394.45,
Campinorte,5204706,campinortense,CLEOMAR MARTINS DE ARA&Uacute;JO,1064.541,12510,11.75,99.1,0.688,15.27,28027.39206,24272.58721,23708.48,
Campo Alegre de Goi&aacute;s,5204805,campo-alegrense,JOS&Eacute; ANTONIO NETO SIQUEIRA,2450.111,7422,3.03,98.7,0.694,27.03,37518.14102,30796.18678,75156.84,
Campo Limpo de Goi&aacute;s,5204854,campolimpense,GRACIELE MARTA DO NASCIMENTO,156.113,8081,51.76,97.2,0.661,22.73,18983.79408,17099.15657,18009.84,
Campos Belos,5204904,campo-belense,PABLO GEOVANNI MOREIRA BATISTA,735.126,18108,24.63,99.4,0.692,3.6,49292.31221,44316.77979,14469.61,
Campos Verdes,5204953,campo-verdense,HAROLDO NAVES SOARES,443.125,4005,9.04,97,0.654,18.87,18443.69178,14911.02175,27432.04,
Carmo do Rio Verde,5205000,carmo-rio-verdino,GERALDO DOS REIS OLIVEIRA,419.821,9710,23.13,99.4,0.713,20.41,33632.666,23301.82311,26249.97,
Castel&acirc;ndia,5205059,castelandense,MARCOS ANTONIO CARLOS,299.228,2985,9.98,92.8,0.701,-,17336.40638,14480.07305,24578.68,
Catal&atilde;o,5205109,catalano,ADIB ELIAS JUNIOR,3826.370,114427,29.90,97.1,0.766,13.7,410029.29072,322085.26293,65498.10,
Catura&iacute;,5205208,caturaiense,DIVINA APARECIDA ZAGO SOUSA,205.065,5184,25.28,98,0.664,17.24,17190.8491,14552.93691,14986.63,
Cavalcante,5205307,cavalcantense,VILMAR SOUZA COSTA,6948.780,9589,1.38,92.9,0.584,-,27958.72907,28408.7381,46043.74,
