Mato Grosso | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2021],&Aacute;rea Territorial - km&sup2; [2022],Popula&ccedil;&atilde;o residente - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2020],Receitas realizadas - R$ (&times;1000) [2017],Despesas empenhadas - R$ (&times;1000) [2017],PIB per capita - R$ [2020],
Acorizal,5100102,acorizano,DIEGO EWERTON FIGUEIREDO TAQUES,850.763,5014,5.89,96.6,0.628,34.48,14794.37826,13392.39218,19748.54,
&Aacute;gua Boa,5100201,&aacute;gua-boense,MARIANO KOLANKIEWICZ FILHO,7549.308,29219,3.87,99.2,0.729,18.78,100991.1253,86715.32248,56766.67,
Alta Floresta,5100250,alta-florestense,VALDEMAR GAMBA,8955.410,58613,6.54,98,0.714,12.3,146439.79095,118288.0181,34915.67,
Alto Araguaia,5100300,araguaiense,GUSTAVO DE MELO ANIC&Eacute;ZIO,5402.308,17193,3.18,96.7,0.704,-,72551.43138,63288.78189,48719.66,
Alto Boa Vista,5100359,alto boa vistense,JOS&Eacute; PEREIRA MARANH&Atilde;O,2248.414,5715,2.54,96.8,0.651,21.98,24524.45732,21727.15352,25569.37,
Alto Gar&ccedil;as,5100409,alto-garcense,CLAUDINEI SINGOLANO,3858.153,13052,3.38,98,0.701,-,34498.41259,33495.48719,69913.81,
Alto Paraguai,5100508,alto-paraguaiense,ADAIR JOS&Eacute; ALVES MOREIRA,1847.354,8009,4.34,95.4,0.638,-,21877.67692,20862.9311,11871.55,
Alto Taquari,5100607,taquariense,MARILDA GAROFOLO SPERANDIO,1436.582,10904,7.59,98.3,0.705,6.85,53111.83829,42129.4395,87586.68,
Apiac&aacute;s,5100805,apiacaense,JULIO CESAR DOS SANTOS,20489.024,8590,0.42,95,0.675,24.59,37080.76693,29954.72985,17758.77,
Araguaiana,5101001,araguaianense,GETULIO DUTRA VIEIRA NETO,6380.700,3795,0.59,98.3,0.687,-,20686.02484,18850.71333,30194.91,
Araguainha,5101209,araguainhense,FRANCISCO GON&Ccedil;ALVES NAVES,675.231,1010,1.50,98.1,0.701,-,11893.20692,10486.89734,24264.07,
