Pernambuco | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2021],&Aacute;rea Territorial - km&sup2; [2022],Popula&ccedil;&atilde;o residente - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2020],Receitas realizadas - R$ (&times;1000) [2017],Despesas empenhadas - R$ (&times;1000) [2017],PIB per capita - R$ [2020],
Abreu e Lima,2600054,abreu-limense,FL&Aacute;VIO VIEIRA GADELHA DE ALBUQUERQUE,126.384,98462,779.07,97.2,0.679,12.39,154773.90211,150392.49413,18189.98,
Afogados da Ingazeira,2600104,afogadense,ALESANDRO PALMEIRA DE VASCONCELOS LEITE,377.696,40241,106.54,97.3,0.657,11.49,84524.28825,84199.55326,12528.31,
Afr&acirc;nio,2600203,afraniense,RAFAEL ANTONIO CAVALCANTI,1490.594,18674,12.53,98.7,0.588,27.67,48071.21326,46130.64133,13778.98,
Agrestina,2600302,agrestinense,JOSU&Eacute; MENDES DA SILVA,200.369,23779,118.68,96.4,0.592,8.67,61063.16654,60315.06588,12502.56,
&Aacute;gua Preta,2600401,&aacute;gua-pretense,NOELINO MAGALHAES OLIVEIRA LYRA,531.935,26461,49.74,94,0.553,5.06,71553.7248,66100.20886,6728.89,
&Aacute;guas Belas,2600500,&aacute;guas-belense,LUIZ AROLDO REZENDE DE LIMA,885.988,41548,46.89,96.1,0.526,8.84,84026.49512,81990.36581,8701.77,
Alagoinha,2600609,alagoinhense,UILAS LEAL DA SILVA,214.267,13542,63.20,96.3,0.599,17.62,37869.57675,34348.50055,9904.28,
Alian&ccedil;a,2600708,aliancense,XISTO LOUREN&Ccedil;O DE FREITAS NETO,272.773,35741,131.03,97,0.604,16.06,74882.94228,78786.39428,8569.62,
Altinho,2600807,altinense,ORLANDO JOS&Eacute; DA SILVA,450.178,20674,45.92,96.9,0.598,7.58,41122.6787,43489.6886,8037.01,
Amaraji,2600906,amarajinense,ALINE DE ANDRADE GOUVEIA,233.239,18205,78.05,96.6,0.580,11.03,49759.73815,49201.102,13007.53,
Angelim,2601003,angelinense,MARCIO DOUGLAS CAVALCANTI DUARTE,118.088,10241,86.72,96.4,0.572,14.6,31575.19313,28332.47878,11741.91,
Ara&ccedil;oiaba,2601052,ara&ccedil;oiabense,CARLOS JOGLI ALBUQUERQUE TAVARES UCH&Ocirc;A,96.360,19243,199.70,97,0.592,24.31,42647.83708,39742.10425,8086.51,
Araripina,2601102,araripinense,JOS&Eacute; RAIMUNDO PIMENTEL DO ESP&Iacute;RITO SANTO,2037.394,85088,41.76,95.2,0.602,9.63,161988.93465,154891.63784,12408.05,
Arcoverde,2601201,arcoverdense,JOS&Eacute; WELLINGTON CORDEIRO MACIEL,343.923,77586,225.59,97.3,0.667,11.8,147298.35801,140070.54537,16957.19,
Barra de Guabiraba,2601300,guabirabense,DIOGO CARLOS DE LIMA SILVA,118.639,12263,103.36,93.7,0.577,-,34559.27834,33809.47144,10591.57,
