Piau&iacute; | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2021],&Aacute;rea Territorial - km&sup2; [2022],Popula&ccedil;&atilde;o residente - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2020],Receitas realizadas - R$ (&times;1000) [2017],Despesas empenhadas - R$ (&times;1000) [2017],PIB per capita - R$ [2020],
Acau&atilde;,2200053,acau&atilde;nense,PAULO SERGIO DE SOUSA,1280.838,6420,5.01,97.5,0.528,23.81,16160.54709,15755.32908,8819.73,
Agricol&acirc;ndia,2200103,agricolandiense,ITALO JAMES ALENCAR DE SOUZA,112.392,4940,43.95,97.5,0.599,-,14873.8781,13709.29798,8453.12,
&Aacute;gua Branca,2200202,&aacute;gua-branquense,JOS&Eacute; RIBEIRO DA CRUZ JUNIOR,96.843,17573,181.46,98.6,0.639,-,49509.45311,44495.9755,12537.11,
Alagoinha do Piau&iacute;,2200251,alagoinense,JORISMAR JOS&Eacute; DA ROCHA,535.890,6819,12.72,93.6,0.531,10.87,15041.13957,15044.56951,8772.48,
Alegrete do Piau&iacute;,2200277,alegretense,MARIA LILIAN DE ALENCAR,243.732,4634,19.01,96.7,0.585,17.86,14928.46141,13272.15253,11207.05,
Alto Long&aacute;,2200301,longaense,HENRIQUE CESAR SARAIVA AREA LEAO COSTA,1743.331,13479,7.73,97.9,0.585,16,26948.2862,24944.33159,8341.81,
Altos,2200400,altoense,MAXWELL PIRES FERREIRA,957.232,47416,49.53,97.6,0.614,20.17,76062.83273,77121.44553,11770.84,
Alvorada do Gurgu&eacute;ia,2200459,alvoradense,L&Eacute;CIO GUSTAVO DE SOUSA BEZERRA,2131.506,5322,2.50,97.4,0.578,-,12704.89339,16035.83468,13717.24,
Amarante,2200509,amarantino,DIEGO LAMARTINE SOARES TEIXEIRA,1152.127,17235,14.96,97.2,0.598,11.24,34052.82746,33595.22255,10342.85,
Angical do Piau&iacute;,2200608,angicalense,BRUNO FERREIRA SOBRINHO NETO,222.008,6827,30.75,96.9,0.630,-,19912.12001,17634.26604,9859.80,
An&iacute;sio de Abreu,2200707,anisiense,RAIMUNDO NEI ANTUNES RIBEIRO,337.877,9407,27.84,98.3,0.594,28.57,16654.77945,19520.38605,9298.27,
Ant&ocirc;nio Almeida,2200806,ant&ocirc;nio-almeidense,MARCELO TOLEDO LAURINI,644.800,3152,4.89,99.6,0.620,-,14255.06231,12666.40607,41997.77,
Aroazes,2200905,aroazense,MANOEL PORTELA DE CARVALHO NETO,821.212,5369,6.54,98.9,0.583,-,16919.61091,15119.63843,9489.48,
Aroeiras do Itaim,2200954,aroeirense,EDMILSON FRANCISCO DE DEUS,316.235,2690,8.51,94.2,0.519,-,10853.888,10178.68158,10072.06,
Arraial,2201002,arraialense,ALDEMES BARROSO DA SILVA,682.727,4520,6.62,97.7,0.560,63.83,12540.64856,12655.55254,9336.01,
Assun&ccedil;&atilde;o do Piau&iacute;,2201051,assun&ccedil;&atilde;oense,ANTONIO LUIZ NETO,1690.703,7452,4.41,97.9,0.499,7.94,19338.26341,19787.25086,7026.24,
