Rio de Janeiro | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2021],&Aacute;rea Territorial - km&sup2; [2022],Popula&ccedil;&atilde;o residente - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2020],Receitas realizadas - R$ (&times;1000) [2017],Despesas empenhadas - R$ (&times;1000) [2017],PIB per capita - R$ [2020],
Angra dos Reis,3300100,angrense,FERNANDO ANT&Ocirc;NIO CECILIANO JORD&Atilde;O,813.420,167418,205.82,96.4,0.724,13.66,1048674.52987,844589.26806,51816.01,
Aperib&eacute;,3300159,aperibeense,RONALD DE C&Aacute;SSIO DAIBES MOREIRA,94.542,11034,116.71,96.7,0.692,-,44282.03729,51373.38482,18754.87,
Araruama,3300209,araruamense,LIVIA SOARES BELLO DA SILVA,638.276,129669,203.16,98.3,0.718,9,319409.47301,300538.07366,26276.01,
Areal,3300225,arealense,JOS&Eacute; AUGUSTO BERNARDES LIMA,110.724,11828,106.82,98,0.684,-,59613.31119,53040.68042,30752.45,
Arma&ccedil;&atilde;o dos B&uacute;zios,3300233,buziano,ALEXANDRE DE OLIVEIRA MARTINS,70.977,40006,563.65,97.6,0.728,14.04,239846.23366,201183.51623,60447.32,
Arraial do Cabo,3300258,cabista,MARCELO MAGNO FELIX DOS SANTOS,152.106,30986,203.71,99.2,0.733,6.99,129189.89566,134584.69044,59910.14,
Barra do Pira&iacute;,3300308,barrense,MARIO REIS ESTEVES,584.610,92883,158.88,98.7,0.733,12.33,222231.63733,201994.18884,24500.58,
Barra Mansa,3300407,barra-mansense,RODRIGO DRABLE COSTA,547.133,169899,310.53,98.4,0.729,9.6,506164.12756,464462.81593,31943.28,
Belford Roxo,3300456,belford-roxense,WAGNER DOS SANTOS CARNEIRO,78.985,483087,6116.19,96.2,0.684,15.84,612861.74442,612697.53042,17079.09,
Bom Jardim,3300506,bom-jardinense,PAULO VIEIRA DE BARROS,382.430,28102,73.48,97.4,0.660,12.9,91360.93363,83619.01202,31398.53,
Bom Jesus do Itabapoana,3300605,bom-jesuense,PAULO SERGIO TRAVASSOS DO CARMO CYRILLO,596.659,35173,58.95,98.1,0.732,10.64,99483.01549,98359.22036,23373.40,
Cabo Frio,3300704,cabo-friense,JOS&Eacute; BONIF&Aacute;CIO FERREIRA NOVELLINO,413.449,221987,536.92,96.9,0.735,9.95,822362.47806,818453.96917,40530.43,
Cachoeiras de Macacu,3300803,cachoeirense,RAFAEL MUZZI DE MIRANDA,954.749,56943,59.64,98.4,0.700,14.41,203269.87489,178476.24939,20494.38,
Cambuci,3300902,cambuciense,MAXWELL VIEIGA GUIMARAES,558.281,14616,26.18,98.8,0.691,26.55,60667.69616,55295.19124,26109.56,
Carapebus,3300936,carapebuense,CHRISTIANE MIRANDA DE ANDRADE CORDEIRO,304.885,13847,45.42,98.7,0.713,-,90008.6306,83993.54822,26481.62,
Comendador Levy Gasparian,3300951,gaspariense,CLAUDIO MANNARINO,108.639,8741,80.46,99.4,0.685,20.2,44262.30107,33734.12898,56829.17,
Campos dos Goytacazes,3301009,campista,WLADIMIR BARROS ASSED MATHEUS DE OLIVEIRA,4032.487,483551,119.91,97.3,0.716,18.1,1734229.74139,1663244.70431,46641.88,
Cantagalo,3301108,cantagalense,JOAQUIM AUGUSTO CARVALHO DE PAULA,747.210,19390,25.95,95.4,0.709,18.1,93794.6147,81315.03497,37588.77,
Cardoso Moreira,3301157,cardosense,GEANE CORDEIRO VINCLER,522.596,12958,24.80,98.6,0.648,24.59,65619.6093,53678.19872,27577.00,
Carmo,3301207,carmense,S&Eacute;RGIO LUIZ PERES SOARES,305.749,17198,56.25,98.6,0.696,14.15,73908.7174,68920.76148,30557.41,
Casimiro de Abreu,3301306,casimirense,RAMON DIAS GIDALTE,462.918,46110,99.61,98.5,0.726,6.44,238054.07146,197770.71161,35133.80,
Concei&ccedil;&atilde;o de Macabu,3301405,macabuense,JOS&Eacute; SEBASTI&Atilde;O CASTRO,338.260,21104,62.39,98.8,0.712,15.44,92675.0408,64298.1721,17978.19,
Cordeiro,3301504,cordeirense,LEONAN LOPES MELHORANCE,113.048,20783,183.84,97.6,0.729,4.07,67314.3707,59630.11708,18801.97,
Duas Barras,3301603,bibarrense,FABR&Iacute;CIO LUIZ LIMA AYRES,379.619,10980,28.92,97.8,0.659,-,55450.03514,47376.02088,20742.44,
Duque de Caxias,3301702,caxiense,WASHINGTON REIS DE OLIVEIRA,467.319,808152,1729.34,96.1,0.711,17.85,2318008.29243,2369382.23873,50997.67,
Engenheiro Paulo de Frontin,3301801,fronteense,JOS&Eacute; EMMANOEL RODRIGUES ARTEMENKO,139.381,12242,87.83,98.5,0.722,15.38,53998.99492,48664.81496,19377.75,
Guapimirim,3301850,guapimiriense,MARINA PEREIRA DA ROCHA FERNANDEZ,358.443,51696,144.22,97.6,0.698,7.41,172263.99897,155768.47016,19142.34,
Iguaba Grande,3301876,iguabense,VANTOIL MEDEIROS MARTINS,50.977,27920,547.70,98.1,0.761,5.88,96566.76913,97610.62304,19625.18,
Itabora&iacute;,3301900,itaboraiense,MARCELO JANDRE DELAROLI,429.961,224267,521.60,97.1,0.693,9.14,498361.41068,497033.45551,22338.03,
Itagua&iacute;,3302007,itaguaiense,RUBEM VIEIRA DE SOUZA,282.606,116841,413.44,97.6,0.715,11.93,474597.12207,544374.1086,65543.64,
Italva,3302056,italvense,LEONARDO ORATO RANGEL,291.193,14073,48.33,98.6,0.688,-,59608.75981,46723.61088,25525.78,
Itaocara,3302106,itaocarense,GEYVES MAIA VIEIRA,433.182,22919,52.91,99.6,0.713,26.32,73911.91663,68792.41058,27226.38,
Itaperuna,3302205,itaperunense,ALFREDO PAULO MARQUES RODRIGUES,1106.694,101041,91.30,96.1,0.730,12.25,305348.63224,296249.45345,31955.92,
Itatiaia,3302254,itatiaiense,IRINEU NOGUEIRA COELHO,241.035,30908,128.23,98.2,0.737,2.77,197629.23728,164176.86488,143113.69,
Japeri,3302270,japeriense,FERNANDA MACHADO ONTIVEROS,81.697,96289,1178.61,96.6,0.659,18.29,203388.47731,179170.49824,13826.86,
Laje do Muria&eacute;,3302304,lajense,EUDOCIO MOREIRA CARDOZO,253.530,7336,28.94,98,0.668,-,44499.2588,33296.32771,22728.28,
Maca&eacute;,3302403,macaense,WELBERTH PORTO DE REZENDE,1216.989,246391,202.46,96.9,0.764,8.99,2108814.27099,1844434.30725,58618.72,
