Sergipe | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2021],&Aacute;rea Territorial - km&sup2; [2022],Popula&ccedil;&atilde;o residente - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2020],Receitas realizadas - R$ (&times;1000) [2017],Despesas empenhadas - R$ (&times;1000) [2017],PIB per capita - R$ [2020],
Amparo do S&atilde;o Francisco,2800100,amparense,FRANKLIN RAMIRES FREIRE CARDOSO,35.683,2170,60.81,97.4,0.611,22.73,14462.32651,12760.85159,14175.42,
Aquidab&atilde;,2800209,aquidab&atilde;ense,FRANCISCO FRANCIM&Aacute;RIO RODRIGUES DE LUCENA,359.543,20131,55.99,98.6,0.578,8.66,37035.65666,33523.40153,12075.50,
Aracaju,2800308,aracajuano,EDVALDO NOGUEIRA FILHO,182.163,602757,3308.89,97.4,0.770,16.72,1786682.47133,1502595.63129,24735.91,
Arau&aacute;,2800407,arauaense,FABIO MANOEL ANDRADE COSTA,198.967,10318,51.86,98.3,0.595,13.79,27818.01989,28252.88252,12343.28,
Areia Branca,2800506,areia-branquense,ALAN ANDRELINO NUNES SANTOS,148.134,18081,122.06,98,0.579,7.97,47179.6686,42795.80805,12373.50,
Barra dos Coqueiros,2800605,barra-coqueirense,ALBERTO JORGE SANTOS MACEDO,92.268,41511,449.90,91.7,0.649,14.98,82362.28544,83022.17691,36009.64,
Boquim,2800670,boquinense,ERALDO DE ANDRADE SANTOS,205.443,24638,119.93,97.6,0.604,12.74,50819.62502,50017.32616,11285.12,
Brejo Grande,2800704,brejo-grandense,CLYSMER FERREIRA BASTOS,141.464,7841,55.43,98.5,0.540,30.12,26766.5274,21740.49139,11041.77,
Campo do Brito,2801009,campo-britense,MARCELL MOADE RIBEIRO SOUZA,201.518,18149,90.06,98.2,0.621,26.09,38914.19864,37370.43564,12593.25,
Canhoba,2801108,canhobense,CHRYSTOPHE FERREIRA DIVINO,171.581,3791,22.09,98.1,0.569,-,16150.22102,15075.07765,16226.30,
Canind&eacute; de S&atilde;o Francisco,2801207,canindense,WELDO MARIANO DE SOUZA,934.167,26834,28.73,96.8,0.567,11.79,92450.27565,86227.0147,103993.30,
Capela,2801306,capelense,SILVANY YANINA MAMLAK,442.211,31645,71.56,96.3,0.615,13.13,71881.36274,69443.72344,10303.66,
Carira,2801405,carirense,DIOGO MENEZES MACHADO,638.743,19939,31.22,98.2,0.588,18.87,46769.05299,43848.21723,19033.16,
