Tocantins | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2021],&Aacute;rea Territorial - km&sup2; [2022],Popula&ccedil;&atilde;o residente - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2020],Receitas realizadas - R$ (&times;1000) [2017],Despesas empenhadas - R$ (&times;1000) [2017],PIB per capita - R$ [2020],
Abreul&acirc;ndia,1700251,abreulandense,MANOEL FRANCISCO DE MOURA,1906.295,2576,1.35,95.7,0.665,54.05,11874.80853,11387.19982,29564.14,
Aguiarn&oacute;polis,1700301,aguiarnopolense,WANDERLY DOS SANTOS LEITE,236.792,4497,18.99,96.9,0.657,-,19456.10654,18280.86823,22992.14,
Alian&ccedil;a do Tocantins,1700350,aliancense,ELVES MOREIRA GUIMAR&Atilde;ES,1580.999,5147,3.26,96.2,0.663,-,14911.3544,14065.56031,29076.87,
Almas,1700400,almense,WAGNER NEPOMUCENO CARVALHO,4007.152,6499,1.62,94.4,0.636,9.43,16408.99741,15067.30943,25691.39,
Alvorada,1700707,alvoradense,PAULO ANTONIO DE LIMA SEGUNDO,1207.201,8802,7.29,99,0.708,7.52,30056.82858,20520.71146,48558.05,
Anan&aacute;s,1701002,ananaense,VALDEMAR BATISTA NEPOMOCENO,1581.058,10325,6.53,98.7,0.671,-,21605.42616,19045.38121,14827.41,
Angico,1701051,angicoense,CLEOFAN BARBOSA LIMA,447.549,2876,6.43,99.5,0.648,-,9931.10357,10745.5125,12109.14,
Aparecida do Rio Negro,1701101,aparecidense,SUZANO LINO MARQUES,1159.034,4856,4.19,97.6,0.651,28.57,16368.37314,14690.22477,43143.68,
Aragominas,1701309,aragominense,FRANCISCO RODRIGUES,1168.213,5290,4.53,97.2,0.593,-,14165.45387,13383.03623,13716.56,
Araguacema,1701903,araguacemense,MARCUS VINICIUS MORAES MARTINS,2774.505,5927,2.14,98.3,0.639,12.35,18284.33329,17548.13532,36256.69,
Aragua&ccedil;u,1702000,aragua&ccedil;uense,JARBAS RIBEIRO IVO,5155.223,8133,1.58,97,0.675,20.41,23294.12769,20019.60006,32451.51,
Aragua&iacute;na,1702109,araguainense,WAGNER RODRIGUES BARROS,4004.646,171301,42.78,97.5,0.752,9.39,427808.78234,371399.07659,25965.12,
Araguan&atilde;,1702158,araguanaense,MAX NYLTON BARBOSA DA SILVA,834.834,4310,5.16,96.9,0.604,-,14623.18038,12526.16135,13552.63,
Araguatins,1702208,araguatinense,AQUILES PEREIRA DE SOUSA,2633.278,31918,12.12,95.5,0.631,7.81,63190.40725,55563.81562,12880.85,
Arapoema,1702307,arapoemense,PAULO ANTONIO PEDREIRA,1558.138,5550,3.56,96.9,0.680,-,14075.45403,8860.0136,54054.62,
Arraias,1702406,arraiano,HERMAN GOMES DE ALMEIDA,5803.085,10287,1.77,97.6,0.651,7.25,23889.13473,21311.41331,18573.34,
Augustin&oacute;polis,1702554,augustinopolino,ANT&Ocirc;NIO CAIRES DE ALMEIDA,388.810,17484,44.97,97.1,0.670,9.2,34336.61177,31025.72373,15615.46,
Aurora do Tocantins,1702703,aurorense,LUZINEI DE JESUS SILVA,696.194,3342,4.80,97.9,0.677,-,10438.81328,9319.15845,13631.47,
Axix&aacute; do Tocantins,1702901,axixaense,AURI WULANGE RIBEIRO JORGE,153.539,10262,66.84,99,0.627,17.44,24886.95073,24184.23709,12862.98,
Baba&ccedil;ul&acirc;ndia,1703008,baba&ccedil;ulense,FRANCIEL DE BRITO GOMES,1790.297,7880,4.40,96.9,0.642,38.46,21689.0632,19881.6323,11935.39,
Bandeirantes do Tocantins,1703057,bandeirantense,JOS&Eacute; MARIO ZAMBON TEIXEIRA,1540.541,3407,2.21,97.9,0.638,-,15764.25803,13053.44645,35286.65,
Barra do Ouro,1703073,barraourense,NELIDA VASCONCELOS MIRANDA CAVALCANTE,1105.840,4476,4.05,96.9,0.603,28.57,12705.8086,11740.53949,15863.52,
Barrol&acirc;ndia,1703107,barrolandense,ADRIANO JOS&Eacute; RIBEIRO,697.759,4846,6.95,95.7,0.642,-,14117.57112,13896.00827,19051.87,
Bernardo Say&atilde;o,1703206,bernardense,OSORIO ANTUNES FILHO,924.045,4229,4.58,96.8,0.638,29.85,14989.67733,12443.44374,18535.24,
Bom Jesus do Tocantins,1703305,bonjesuense,PAULO HERNANDES MOURA LIMA,1326.947,4033,3.04,97.5,0.660,-,12277.84514,10905.87465,25275.47,
Brasil&acirc;ndia do Tocantins,1703602,brasilandense,RICARDO FERREIRA DIAS,645.908,1974,3.06,98.7,0.684,-,11671.19242,9751.18509,25019.01,
Brejinho de Nazar&eacute;,1703701,brejinense,MARCO AURELIO BISPO NOBRE,1722.590,4725,2.74,97.7,0.686,-,15173.71124,14057.78779,40467.00,
Buriti do Tocantins,1703800,buritinense,LUCILENE GOMES DE BRITO ALMEIDA,252.730,10307,40.78,95.8,0.627,6.76,19485.77092,16641.18355,10205.91,
Cachoeirinha,1703826,cachoeirense,PAULO MACEDO DAMACENA,351.535,1961,5.58,98.7,0.627,-,11373.91621,9758.17802,14784.13,
Campos Lindos,1703842,campolindense,ROMIL IAKOV KALUGIN,3234.445,8653,2.68,92.8,0.544,12.99,24843.71689,23840.78084,46047.99,
Cariri do Tocantins,1703867,caririense,VANDERLEI ANTONIO DE CARVALHO JUNIOR,1126.291,4007,3.56,99.3,0.662,48.78,25675.7365,18025.87898,89401.02,
Carmol&acirc;ndia,1703883,carmolandense,NEURIVAN RODRIGUES DE SOUSA,339.366,2201,6.49,98.8,0.640,23.26,12385.26161,10413.2296,17446.12,
Carrasco Bonito,1703891,carrascoense,GILVAN BANDEIRA DA SILVA,190.352,3318,17.43,97.9,0.594,-,13303.16277,13341.79363,11072.91,
Caseara,1703909,casearense,ILDISLENE BERNARDO DA SILVA SANTANA,1680.014,4847,2.89,98.7,0.658,-,17113.82501,15716.56254,82489.74,
Centen&aacute;rio,1704105,centenarense,FOCILIDES CARVALHO SILVA,1953.134,2131,1.09,97.5,0.569,-,11730.87733,10958.36752,22314.82,
Chapada de Areia,1704600,chapadareiense,ADAUTO MENDES DE OLIVEIRA,658.564,1501,2.28,97.7,0.619,-,9744.69414,8665.24094,23464.67,
Chapada da Natividade,1705102,chapadense,ELIO DION&Iacute;ZIO DE SANTANA,1640.833,3117,1.90,96.1,0.620,-,12738.45247,10364.41152,27491.08,
Colinas do Tocantins,1705508,colinense,JOSEMAR CARLOS CASARIN,842.488,34233,40.63,97.7,0.701,17.48,89472.99548,74343.58146,22179.14,
Combinado,1705557,combinadense,LINDOLFO DO PRADO NETO,208.791,4756,22.78,98.6,0.697,16.67,11371.19024,10008.47929,15055.34,
Concei&ccedil;&atilde;o do Tocantins,1705607,conceicionense,JO&Atilde;O PAULO FERNANDES COSTA,2530.647,3887,1.54,97.9,0.592,36.36,14183.8803,12955.8009,15058.64,
Couto Magalh&atilde;es,1706001,coutoense,J&Uacute;LIO C&Eacute;SAR RAMOS BRASIL,1584.196,5331,3.37,96.3,0.605,15.15,17584.38466,16840.83999,23387.97,
Cristal&acirc;ndia,1706100,cristalandense,WILSON JUNIOR DE CARVALHO,1850.750,6371,3.44,97.9,0.673,-,2866.78708,15123.09369,25310.02,
Crix&aacute;s do Tocantins,1706258,crixaense,ANA FL&Aacute;VIA ALVES SILVEIRA MONTEIRO,983.766,1470,1.49,100,0.644,-,11000.93127,9804.02424,36063.56,
Darcin&oacute;polis,1706506,darcinopolino,JACKSON SOARES MARINHO,1641.770,5827,3.55,93.5,0.581,-,16235.88397,13943.27418,35243.14,
Dian&oacute;polis,1707009,dianopolino,JOS&Eacute; SALOM&Atilde;O JACOBINA AIRES,3318.094,17739,5.35,97.4,0.701,15.97,50213.27355,39907.00473,31530.94,
Divin&oacute;polis do Tocantins,1707108,divinopolino,FLAVIO RODRIGUES SILVA,2358.282,7024,2.98,97.5,0.683,-,18930.36663,16938.96595,24974.12,
Dois Irm&atilde;os do Tocantins,1707207,doisirmanense,GECIRAN SARAIVA SILVA,3747.645,6327,1.69,91.4,0.583,15.87,14417.81568,15381.51374,20044.25,
Duer&eacute;,1707306,duerense,VALDEN&Iacute; PEREIRA DE CARVALHO,3420.657,4248,1.24,96.8,0.679,-,15679.72538,13877.23948,35220.81,
Esperantina,1707405,esperantinense,ARMANDO ALENCAR DA SILVA,506.175,7530,14.88,97.6,0.570,20.69,22436.9798,21304.35059,9630.98,
F&aacute;tima,1707553,fatimense,JOS&Eacute; ANTONIO SANTOS ANDRADE,380.373,3467,9.11,98.3,0.697,-,12710.48159,12738.85981,20790.02,
Figueir&oacute;polis,1707652,figueiropolense,JAKELINE PEREIRA DOS SANTOS,1935.709,5211,2.69,97.9,0.689,-,16818.64099,14346.92775,42377.33,
Filad&eacute;lfia,1707702,filadelfiense,DAVID SOUSA BENTO,1991.258,7712,3.87,96,0.621,20,19860.09632,17747.94439,13243.39,
Formoso do Araguaia,1708205,formosense do araguaia,HENO RODRIGUES DA SILVA,13431.861,18881,1.41,97.6,0.670,12.15,46066.01789,46471.2914,24263.49,
Taboc&atilde;o,1708254,tabocoense,WAGNER TEIXEIRA DE FARIAS,624.463,3455,5.53,97.2,0.659,-,13914.61316,11575.29568,84696.24,
Goianorte,1708304,goianortense,MARIA DE JESUS AMARO DE OLIVEIRA PARENTE,1797.229,4738,2.64,98.9,0.621,-,14802.25728,14978.46086,21324.42,
Goiatins,1709005,goiatinense,MANOEL NATALINO PEREIRA SOARES,6414.846,12433,1.94,94.3,0.576,16.95,28322.30249,26091.20943,13372.35,
Guara&iacute;,1709302,guaraiense,MARIA DE FATIMA COELHO NUNES,2106.753,24775,11.76,98.6,0.741,5.41,58952.52178,47515.26951,28287.10,
Gurupi,1709500,gurupiense,JOSINIANE BRAGA NUNES,1844.164,85126,46.16,96.1,0.759,3.12,273477.35567,239607.16263,29052.60,
Ipueiras,1709807,ipueirense,CAIO AUGUSTO SIQUEIRA DE ABREU RIBEIRO,821.152,1590,1.94,98.7,0.620,-,10423.1608,8906.77715,18179.46,
Itacaj&aacute;,1710508,itacajaense,MARIA APARECIDA LIMA ROCHA COSTA,3047.204,6819,2.24,94.8,0.612,32.79,18880.17053,19914.26583,16277.42,
Itaguatins,1710706,itaguatinense,MARIA IVONEIDE MATOS BARRETO,730.163,5172,7.08,95,0.616,-,14569.44672,15259.82582,12572.29,
Itapiratins,1710904,itapiratinense,SANDRO RODRIGUES DE SOUZA,1246.349,3577,2.87,97.1,0.601,17.54,15613.54435,14460.84894,30439.42,
Itapor&atilde; do Tocantins,1711100,itaporanense,JOSE REZENDE SILVA,969.794,2404,2.48,97.3,0.650,30.3,11131.73643,10279.62892,23354.90,
Ja&uacute; do Tocantins,1711506,jauense,LUCIENE LOUREN&Ccedil;O DE ARAUJO,2167.201,3334,1.54,99,0.662,-,15874.50009,14399.718,20415.54,
Juarina,1711803,juarinense,MANOEL FERREIRA LIMA,483.452,2243,4.64,95.4,0.584,-,11145.7456,9611.09584,16561.10,
Lagoa da Confus&atilde;o,1711902,lagoense,THIAGO SOARES CARLOS,10563.181,15288,1.45,88.5,0.627,11.41,34466.14909,30518.18334,76362.00,
Lagoa do Tocantins,1711951,lagoense do tocantins,LEANDRO FERNANDES SOARES,917.632,3516,3.83,97.8,0.579,-,11608.54483,8999.36561,18117.99,
Lajeado,1712009,lajeadense,ANTONIO LUIZ BANDEIRA JUNIOR,318.292,3357,10.55,95.5,0.675,17.86,33216.90148,28174.70353,21301.10,
Lavandeira,1712157,lavandeirense,ROBERTO CESAR FERREIRA DE OLIVEIRA,468.006,1626,3.47,97.9,0.660,-,8547.92467,8678.79181,15486.52,
Lizarda,1712405,lizardense,SUELENE LUSTOSA MATOS,5716.641,2999,0.52,95.9,0.570,-,11668.25747,9047.72423,13972.33,
Luzin&oacute;polis,1712454,luzinopolino,JO&Atilde;O MIGUEL CASTILHO LAN&Ccedil;A REI DE MARGARIDO,281.543,2717,9.65,99,0.639,-,11335.99763,10101.94545,38614.32,
Marian&oacute;polis do Tocantins,1712504,marianopolino,ISAIAS DIAS PIAGEM,2089.575,4615,2.21,98.5,0.631,15.15,16448.35262,14276.76363,40130.13,
Mateiros,1712702,mateirense,JO&Atilde;O MARTINS NETO,9589.273,2748,0.29,95.8,0.607,-,13242.97341,11266.66887,83560.61,
Mauril&acirc;ndia do Tocantins,1712801,maurilandense,RAFAEL MARACAIPE DE ALMEIDA,736.303,3095,4.20,97.9,0.580,-,14788.35934,13462.49545,13880.91,
Miracema do Tocantins,1713205,miracemense,CAMILA FERNANDES DE ARA&Uacute;JO,2663.745,18566,6.97,97.1,0.684,12.35,55727.94465,50645.37048,33104.87,
Miranorte,1713304,miranortense,ANTONIO CARLOS MARTINS REIS,1033.301,12701,12.29,97,0.662,10.75,31024.98243,26607.77202,22799.82,
Monte do Carmo,1713601,carmelito,ARQUIVARDES AVELINO RIBEIRO,3601.205,5694,1.58,94.3,0.622,-,18151.21476,15702.66138,28665.33,
Monte Santo do Tocantins,1713700,montesantense,NEZITA MARTINS NETA,1072.920,2396,2.23,97.3,0.620,-,11978.31462,9731.77792,23233.49,
Palmeiras do Tocantins,1713809,palmeirense,FRANCISCO NOLETO JUNIOR,743.407,4872,6.55,97.1,0.628,16.39,14720.82789,12684.45983,12053.97,
Muricil&acirc;ndia,1713957,muricilandense,ALESSANDRO GON&Ccedil;ALVES BORGES,1194.368,3367,2.82,96.1,0.596,-,12318.26769,10683.9877,15999.14,
Natividade,1714203,nativitano,THIAGO JAYME RODRIGUES DE CERQUEIRA,3241.672,8754,2.70,97.8,0.673,7.63,18338.22027,16621.76627,19903.30,
Nazar&eacute;,1714302,nazareno,CLAYTON PAULO RODRIGUES,395.997,4521,11.42,98.6,0.643,-,12482.22386,11546.31695,14337.09,
Nova Olinda,1714880,nova-olindense,JESUS EVARISTO CARDOSO,1567.834,10367,6.61,95.3,0.631,12.9,27927.46726,25074.10112,24599.70,
Nova Rosal&acirc;ndia,1715002,rosalandense,ENOQUE PORTILIO CARDOSO,514.791,3362,6.53,98.2,0.661,24.39,12031.6892,11183.43661,20409.92,
Novo Acordo,1715101,novoacordino,DEUSANY BATISTA DE CASTRO,2678.262,3969,1.48,96.4,0.639,-,12542.51498,11889.06704,15981.80,
Novo Alegre,1715150,novoalegrense,FERNANDO PEREIRA GOMES,200.412,1846,9.21,99,0.699,-,10400.57616,9002.22388,13403.02,
Novo Jardim,1715259,novojardinense,JOSE VIEIRA NEVES,1213.893,2230,1.84,97.8,0.596,34.48,13122.4321,11115.23504,13435.71,
Oliveira de F&aacute;tima,1715507,oliverense,NEREU FONTES DA LUZ,209.292,1164,5.56,98,0.675,-,9998.51852,8865.75552,21258.45,
Palmeirante,1715705,palmeirantense,RAIMUNDO BRANDAO DOS SANTOS,2638.465,4798,1.82,93.6,0.571,17.86,18954.28931,15788.3531,17057.03,
Palmeir&oacute;polis,1715754,palmeiropolitano,BARTOLOMEU MOURA JUNIOR,1708.981,6975,4.08,98,0.673,27.4,22944.53893,20039.56973,18358.73,
Para&iacute;so do Tocantins,1716109,paraisense,CELSO SOARES R&Ecirc;GO MORAIS,1292.267,52360,40.52,98.4,0.764,10.9,106040.45511,86694.04476,27964.08,
Paran&atilde;,1716208,paran&atilde;ense,PHABIO AUGUSTUS DA SILVA MOREIRA,11217.373,10542,0.94,95.4,0.595,5.85,29572.14687,26359.08639,32223.69,
Pau D'Arco,1716307,pau d&rsquo;arquense,JO&Atilde;O BATISTA NETO,1375.551,4043,2.94,98,0.661,30.3,13371.85453,11895.59074,16751.04,
Pedro Afonso,1716505,pedro afonsino,JOAQUIM MARTINS PINHEIRO FILHO,2019.556,14055,6.96,97.4,0.732,31.87,41843.12152,38100.55791,46071.77,
Peixe,1716604,peixense,AUGUSTO CEZAR PEREIRA DOS SANTOS,5303.612,9317,1.76,96.1,0.674,14.93,41796.66398,35127.90993,57408.76,
Pequizeiro,1716653,pequizeirense,JOCELIO NOBRE DA SILVA,1206.118,4921,4.08,99.4,0.627,-,16866.32852,16397.95661,16717.53,
Colm&eacute;ia,1716703,colmeiense,JOCT&Atilde; JOSE DOS REIS,1161.030,8941,7.70,98.3,0.671,19.23,19692.59221,17978.59156,20645.59,
