Maranh&atilde;o | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2021],&Aacute;rea Territorial - km&sup2; [2022],Popula&ccedil;&atilde;o residente - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2020],Receitas realizadas - R$ (&times;1000) [2017],Despesas empenhadas - R$ (&times;1000) [2017],PIB per capita - R$ [2020],
A&ccedil;ail&acirc;ndia,2100055,a&ccedil;ailandense,ALU&Iacute;SIO SILVA SOUSA,5805.159,106550,18.35,97.7,0.672,13.04,276417.09217,247664.13737,23683.22,
Afonso Cunha,2100105,afonso-cunhense,ARQUIMEDES AM&Eacute;RICO BACELAR,371.338,6144,16.55,96.6,0.529,9.35,19340.67763,18841.19671,10937.18,
&Aacute;gua Doce do Maranh&atilde;o,2100154,aguadocense,THALITA E SILVA CARVALHO DIAS,442.292,12142,27.45,98.3,0.500,-,25836.80798,25102.74988,7084.82,
Alc&acirc;ntara,2100204,alcantarense,WILLIAM GUIMARAES DA SILVA,1167.964,18466,15.81,96.8,0.573,4.72,40693.60286,42948.53135,5983.07,
Aldeias Altas,2100303,aldeias-altense,KEDSON ARAUJO LIMA,1942.121,23286,11.99,94.9,0.513,9.3,60698.52411,57292.67271,8018.87,
Altamira do Maranh&atilde;o,2100402,altamirense,ILEILDA MORAIS DA SILVA CUTRIM,524.374,6447,12.29,91.5,0.549,-,28548.42848,24977.84736,7512.63,
Alto Alegre do Maranh&atilde;o,2100436,alto-alegrense,NILSILENE SANTANA RIBEIRO ALMEIDA,392.750,24048,61.23,95.5,0.554,15.11,48180.1222,47273.23963,8770.52,
Alto Alegre do Pindar&eacute;,2100477,alto-alegrense,FRANCISCO DANTAS RIBEIRO FILHO,1875.901,25710,13.71,96.7,0.558,20.45,70794.78433,68523.70127,7221.77,
Alto Parna&iacute;ba,2100501,alto-parnaibano,ITAMAR NUNES VIEIRA,11127.384,11109,1.00,95.1,0.633,20.94,34241.63116,32154.05746,43877.65,
Amap&aacute; do Maranh&atilde;o,2100550,amapaense,NELENE DA COSTA GOMES,502.402,7170,14.27,98,0.520,15.87,17306.81202,15586.60279,7841.48,
Amarante do Maranh&atilde;o,2100600,amarantino,VANDERLY GOMES MIRANDA,7439.615,37091,4.99,95.1,0.555,17.83,74474.97505,67136.5104,8010.30,
Anajatuba,2100709,anajatubense,HELDER LOPES ARAG&Atilde;O,940.489,25322,26.92,96.1,0.581,18.18,53011.45698,66751.77313,6804.70,
Anapurus,2100808,anapuruense,VANDERLY DE SOUSA DO NASCIMENTO MONTELES,608.903,13793,22.65,98,0.581,9.9,51064.32954,38190.48234,8817.78,
Apicum-A&ccedil;u,2100832,apicum-a&ccedil;uense,JOS&Eacute; DE RIBAMAR RIBEIRO,341.120,17519,51.36,96.8,0.568,15.69,37608.42649,36703.29242,7028.90,
