Mato Grosso do Sul | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2021],&Aacute;rea Territorial - km&sup2; [2022],Popula&ccedil;&atilde;o residente - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2020],Receitas realizadas - R$ (&times;1000) [2017],Despesas empenhadas - R$ (&times;1000) [2017],PIB per capita - R$ [2020],
&Aacute;gua Clara,5000203,&aacute;gua-clarense,GEROLINA DA SILVA ALVES,7781.558,16741,2.15,96.6,0.670,4.1,74959.24032,65039.34516,68741.96,
Alcin&oacute;polis,5000252,alcinopolense,DALMY CRISOSTOMO DA SILVA,4397.518,4537,1.03,98,0.711,-,41911.08558,30503.14667,44439.68,
Amambai,5000609,amambaiense,EDINALDO LUIZ DE MELO BANDEIRA,4193.742,39325,9.38,93.2,0.673,23.96,120972.97378,117581.49805,32016.94,
Anast&aacute;cio,5000708,anastaciano,NILDO ALVES DE ALBRES,2913.177,24107,8.28,98.4,0.663,10.81,58708.1822,44737.66644,23083.94,
Anauril&acirc;ndia,5000807,anaurilandense,EDSON STEFANO TAKAZONO,3415.657,7653,2.24,98.9,0.670,36.36,32123.40232,26760.84273,35491.70,
Ang&eacute;lica,5000856,angeliquense,EDISON CASSUCI FERREIRA,1283.627,10729,8.36,98.2,0.697,-,43442.36917,34911.70891,87104.16,
Ant&ocirc;nio Jo&atilde;o,5000906,ant&ocirc;nio-joanense,AGNALDO MARCELO DA SILVA OLIVEIRA,1142.895,9303,8.14,96.9,0.643,11.49,37662.66908,29863.4897,59161.79,
Aparecida do Taboado,5001003,aparecidense,JOS&Eacute; NATAN DE PAULA DIAS,2751.485,27674,10.06,97.5,0.697,7.81,104436.04648,92865.23644,47430.12,
Aquidauana,5001102,aquidauanense,ODILON FERRAZ ALVES RIBEIRO,17087.021,46803,2.74,97.6,0.688,8.13,156493.7827,140192.57767,21548.90,
Aral Moreira,5001243,aral-moreirense,ALEXANDRINO AREVALO GARCIA,1653.860,10748,6.50,90.7,0.633,29.59,46128.61232,40265.39698,77539.30,
Bandeirantes,5001508,bandeirantense,EDERVAN GUSTAVO SPROTTE,3357.926,7940,2.36,97.6,0.681,-,32383.98241,27736.79754,78916.43,
Bataguassu,5001904,bataguassuense,AKIRA OTSUBO,2392.476,23031,9.63,97.9,0.710,4.34,101072.49759,76316.62643,39408.54,
Bataypor&atilde;,5002001,bataipor&atilde;ense,GERMINO DA ROZ SILVA,1826.578,10712,5.86,97,0.684,27.4,37140.66329,36997.92023,45307.75,
Bela Vista,5002100,bela-vistense,REINALDO MIRANDA BENITES,4899.440,21613,4.41,96,0.698,15.35,70063.16597,62727.637,27785.92,
Bodoquena,5002159,bodoquenense,KAZUTO HORII,2591.933,8567,3.31,99.2,0.666,8.77,49691.42035,38632.19099,33838.02,
Bonito,5002209,bonitense,JOSMAIL RODRIGUES,5373.016,23659,4.40,97.3,0.670,8.65,89150.1933,76138.8454,43851.21,
Brasil&acirc;ndia,5002308,brasilandense,ANTONIO DE PADUA THIAGO,5803.542,11579,2.00,98.7,0.701,18.4,56932.27731,46406.77853,61553.79,
Caarap&oacute;,5002407,caarapoense,ANDRE LUIS NEZZI DE CARVALHO,2115.730,30612,14.47,91.5,0.692,9.17,104146.64398,91984.58696,62384.98,
Camapu&atilde;,5002605,camapuense,MANOEL EUGENIO NERY,6238.127,13583,2.18,97.9,0.703,13.07,58100.40673,47038.08983,39439.24,
Campo Grande,5002704,campo-grandense,ADRIANE BARBOSA NOGUEIRA LOPES,8082.978,897938,111.09,98,0.784,10.29,3294334.84989,3167289.85535,33243.63,
Caracol,5002803,caracolense,CARLOS HUMBERTO PAGLIOSA,2943.206,5036,1.71,97.9,0.647,17.24,27969.42288,24308.94604,23586.34,
Cassil&acirc;ndia,5002902,cassilandense,JAIR BONI COGO,3658.252,20988,5.74,98.9,0.727,-,90186.05499,73967.12289,33300.67,
Chapad&atilde;o do Sul,5002951,chapadense,JO&Atilde;O CARLOS KRUG,3252.327,30993,9.53,98.3,0.754,11.49,147161.35723,117183.57573,81731.25,
Corguinho,5003108,corguinhense,MARCELA RIBEIRO LOPES,2639.657,4783,1.81,98.3,0.671,-,24211.13673,19460.3036,20842.80,
Coronel Sapucaia,5003157,sapucaense,RUDI PAETZOLD,1023.727,14161,13.83,84,0.589,10.58,44187.84699,38080.55402,17318.49,
Corumb&aacute;,5003207,corumbaense,MARCELO AGUILAR IUNES,64432.450,96268,1.49,94.7,0.700,21.15,518024.65438,419278.9223,25756.90,
Costa Rica,5003256,costa-riquense,CLEVERSON ALVES DOS SANTOS,4159.384,26037,6.26,98.6,0.706,21.23,128257.86829,102726.51053,93009.60,
Coxim,5003306,coxinense,EDILSON MAGRO,6391.486,32151,5.03,97.1,0.703,6.34,117259.72574,101848.8957,30123.80,
Deod&aacute;polis,5003454,deodapolense,VALDIR LUIZ SARTOR,828.533,13663,16.49,99.1,0.694,6.45,31503.99158,27192.15907,30688.17,
Dois Irm&atilde;os do Buriti,5003488,buritiense,WLADEMIR DE SOUZA VOLK,2431.609,11100,4.56,95.9,0.639,6.71,39532.66837,33625.60546,23305.58,
Douradina,5003504,douradinense,JEAN S&Eacute;RGIO CLAVISSO FOGA&Ccedil;A,280.457,5578,19.89,99.1,0.699,14.49,24839.17589,21062.29173,30347.76,
Dourados,5003702,douradense,ALAN AQUINO GUEDES DE MENDON&Ccedil;A,4062.236,243368,59.91,97.1,0.747,8.98,816975.02619,724693.29887,48135.57,
Eldorado,5003751,eldoradense,AGUINALDO DOS SANTOS,1012.796,11386,11.24,96.1,0.684,11.36,42162.83623,35434.82574,35790.48,
F&aacute;tima do Sul,5003801,f&aacute;tima-sulense,ILDA SALGADO MACHADO,315.333,20609,65.36,98,0.714,7.84,57367.65091,50749.58249,31097.52,
Figueir&atilde;o,5003900,figueir&atilde;oense,JUVENAL CONSOLARO,4879.932,3539,0.73,95.9,0.660,-,21522.93792,19488.16574,41432.16,
Gl&oacute;ria de Dourados,5004007,gl&oacute;ria-douradense,ARISTEU PEREIRA NANTES,493.434,10444,21.17,99.8,0.721,-,26365.26247,25909.10675,25674.93,
Guia Lopes da Laguna,5004106,lagunense,JAIR SCAPINI,1225.426,9939,8.11,96.5,0.675,17.24,30531.82583,27111.67057,32546.63,
Iguatemi,5004304,iguatemiense,LIDIO LEDESMA,2957.410,13796,4.66,96,0.662,14.15,48630.16457,41725.03139,35638.72,
Inoc&ecirc;ncia,5004403,inocentino,ANTONIO ANGELO GARCIA DOS SANTOS,5761.190,8404,1.46,96.6,0.681,10.2,40200.93753,36315.18574,39085.69,
Itapor&atilde;,5004502,itaporanense,MARCOS ANT&Ocirc;NIO PACO,1342.764,24137,17.98,94.8,0.654,7.55,58458.94612,48894.64753,42095.98,
