Par&aacute; | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2021],&Aacute;rea Territorial - km&sup2; [2022],Popula&ccedil;&atilde;o residente - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2020],Receitas realizadas - R$ (&times;1000) [2017],Despesas empenhadas - R$ (&times;1000) [2014],PIB per capita - R$ [2020],
Abaetetuba,1500107,abaetetubense,FRANCINETI MARIA RODRIGUES CARVALHO,1610.654,158188,98.21,97.7,0.628,14.89,247401.53562,223555.03957,10413.48,
Abel Figueiredo,1500131,abel-figueiredense,ANT&Ocirc;NIO DOS SANTOS CALHAU,614.131,7030,11.45,97.6,0.622,20.41,21395.59642,19435.31111,12780.87,
Acar&aacute;,1500206,acaraense,PEDRO PAULO GOUVEA MORAES,4344.384,57385,13.21,92.9,0.506,22.18,115777.85415,121927.68647,15840.52,
Afu&aacute;,1500305,afuaense,ODIMAR WANDERLEY SALOMAO,8338.438,37765,4.53,88.4,0.489,14.52,83522.85742,86644.73167,11075.99,
&Aacute;gua Azul do Norte,1500347,agua-azulense,ISVANDIRES MARTINS RIBEIRO,7113.955,18080,2.54,90.2,0.564,23.67,55630.6111,51091.57538,19236.57,
Alenquer,1500404,alenquerense,HEVERTON DOS SANTOS SILVA,23645.452,69377,2.93,95.6,0.564,34.58,100593.19989,100536.88104,12114.02,
Almeirim,1500503,almeiriense,MARIA LUCIDALVA BEZERRA DE CARVALHO,72954.798,34280,0.47,95.8,0.642,19.26,95112.35524,89594.72585,18417.18,
Altamira,1500602,altamirense,CLAUDOMIRO GOMES DA SILVA,159533.306,126279,0.79,93.1,0.665,14.15,302411.39383,293679.63086,22044.21,
Anaj&aacute;s,1500701,anajaense,VIVALDO MENDES DA CONCEI&Ccedil;&Atilde;O,6913.640,28011,4.05,90.6,0.484,12.18,64016.24826,59048.99203,7703.25,
Ananindeua,1500800,ananindeuense,DANIEL BARBOSA SANTOS,190.581,478778,2512.20,96.7,0.718,12.94,683798.14361,622173.84451,15201.46,
Anapu,1500859,anapuense,AELTON FONSECA SILVA,11895.270,31850,2.68,94.2,0.548,12.68,72267.7892,70499.10346,18232.72,
Augusto Corr&ecirc;a,1500909,augusto-correense,FRANCISCO EDINALDO QUEIROZ DE OLIVEIRA,1099.619,44573,40.53,93.6,0.520,11.63,92714.54489,104578.63611,7874.67,
Aurora do Par&aacute;,1500958,auroenses,VANESSA GUSM&Atilde;O MIRANDA,1811.840,23632,13.04,87.3,0.519,19.23,54516.80479,57572.21419,8419.97,
Aveiro,1501006,aveirense,VILSON GON&Ccedil;ALVES,17074.053,18290,1.07,96.1,0.541,6.85,34428.65917,32506.00451,8461.75,
Bagre,1501105,bagrense,CLEBERSON FARIAS LOBATO RODRIGUES,4397.321,34711,7.89,82.7,0.471,9.47,46900.07918,44289.24717,7433.19,
Bai&atilde;o,1501204,baionense,LOURIVAL MENEZES FILHO,3759.834,51641,13.73,91.4,0.578,15.66,77415.8892,84664.95209,12704.23,
Bannach,1501253,bannaquense,LUCINEIA ALVES DA SILVA,2956.649,4031,1.36,95.2,0.594,-,17410.6653,15715.73306,30851.86,
Barcarena,1501303,barcarenense,JOS&Eacute; RENATO OGAWA RODRIGUES,1310.338,126650,96.65,97.3,0.662,9.25,395415.1394,336757.67898,58550.40,
Bel&eacute;m,1501402,belenense,EDMILSON BRITO RODRIGUES,1059.466,1303389,1230.23,96.1,0.746,15.74,3011707.6566,2710396.33788,20562.10,
Belterra,1501451,belterrense,ULISSES JOSE MEDEIROS ALVES,4398.418,18099,4.11,96.6,0.588,22.65,40634.23747,39998.18692,10460.11,
