Para&iacute;ba | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2021],&Aacute;rea Territorial - km&sup2; [2022],Popula&ccedil;&atilde;o residente - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2020],Receitas realizadas - R$ (&times;1000) [2017],Despesas empenhadas - R$ (&times;1000) [2017],PIB per capita - R$ [2020],
&Aacute;gua Branca,2500106,agua branquense,EVERTON FIRMINO BATISTA,241.662,9335,38.63,97.6,0.572,23.26,24636.41005,23228.10166,8388.85,
Aguiar,2500205,aguiarense,MANOEL BATISTA GUEDES FILHO,351.607,5003,14.23,98.9,0.597,-,18851.68017,18417.05179,9905.83,
Alagoa Grande,2500304,alagoa-grandense,ANT&Ocirc;NIO DA SILVA SOBRINHO,322.071,26062,80.92,97.4,0.582,12.2,50172.09386,49154.32307,9884.10,
Alagoa Nova,2500403,alagoa-novense,FRANCINILDO PIMENTEL DA SILVA,128.230,21013,163.87,97.9,0.576,15.02,41347.8365,40184.92284,15849.50,
Alagoinha,2500502,alagoinhense,MARIA RODRIGUES DE ALMEIDA FARIAS,111.361,13725,123.25,98.7,0.595,-,36867.87533,32853.50294,8427.57,
Alcantil,2500536,alcantilense,CICERO JOS&Eacute; FERNANDES DO CARMO,309.896,5578,18.00,95.7,0.578,-,16433.77729,15580.97516,8698.72,
Algod&atilde;o de Janda&iacute;ra,2500577,algodoense,HUMBERTO DOS SANTOS,222.740,2953,13.26,98.5,0.548,-,14505.78893,12536.33916,10116.45,
Alhandra,2500601,alhandrense,MARCELO RODRIGUES DA COSTA,183.974,21713,118.02,96.3,0.582,5.12,71517.93289,65217.88863,111427.12,
S&atilde;o Jo&atilde;o do Rio do Peixe,2500700,s&atilde;o-joanense,LUIZ CLAUDINO DE CARVALHO FLOR&Ecirc;NCIO,476.238,17964,37.72,98.7,0.608,11.11,36619.12592,33892.3888,11664.33,
Amparo,2500734,amparense,INACIO LUIZ NOBREGA DA SILVA,122.094,2234,18.30,98.1,0.606,-,12822.70733,11568.39916,12316.27,
Aparecida,2500775,aparecidense,JO&Atilde;O RABELO DE S&Aacute; NETO,291.478,7960,27.31,96.2,0.578,13.16,18205.01716,16286.96244,10648.22,
Ara&ccedil;agi,2500809,ara&ccedil;agiense,JOSILDA MACENA BENICIO LEITE,232.177,16646,71.70,95,0.549,-,32400.05648,31923.96695,10050.25,
Arara,2500908,araraense,JOS&Eacute; AILTON PEREIRA DA SILVA,91.306,12212,133.75,97.3,0.548,14.18,26312.69386,23928.00804,7960.65,
Araruna,2501005,ararunense,VITAL DA COSTA ARAUJO,246.717,17189,69.67,97.5,0.567,28.04,39593.81219,38425.87595,9067.14,
Areia,2501104,areiense,SILVIA CESAR FARIAS DA CUNHA LIMA,269.130,22633,84.10,97.5,0.594,6.08,37908.31601,33485.75741,10754.72,
