Paran&aacute; | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2021],&Aacute;rea Territorial - km&sup2; [2022],Popula&ccedil;&atilde;o residente - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2020],Receitas realizadas - R$ (&times;1000) [2017],Despesas empenhadas - R$ (&times;1000) [2017],PIB per capita - R$ [2020],
Abati&aacute;,4100103,abatiense,NELSON GARCIA JUNIOR,228.717,7241,31.66,96.5,0.687,-,21302.4779,17805.68531,32365.02,
Adrian&oacute;polis,4100202,adrianopolitano ou adrianopolense,VANDIR DE OLIVEIRA ROSA,1349.311,6256,4.64,95.8,0.667,-,27896.90718,26008.12705,48809.91,
Agudos do Sul,4100301,agudense-do-sul ou agudense,JESSE DA ROCHA ZOELLNER,192.261,10233,53.22,96.3,0.660,-,23790.02827,21427.99858,21880.29,
Almirante Tamandar&eacute;,4100400,tamandareense,GERSON DENILSON COLODEL,194.228,119825,616.93,95.6,0.699,7.54,200858.73732,165618.13589,14102.03,
Altamira do Paran&aacute;,4100459,altamirense,JOSE ETEVALDO DE OLIVEIRA,386.945,3590,9.28,97.5,0.667,19.23,21885.68263,18892.50535,49808.79,
Alt&ocirc;nia,4100509,altoniano,CLAUDENIR GERVASONE,661.560,18738,28.32,99.7,0.721,8.89,56894.27554,47629.1877,18892.65,
Alto Paran&aacute;,4100608,alto-paranaense,CLAUDEMIR JOIA PEREIRA,407.719,13909,34.11,96,0.696,11.11,49050.42207,38262.57745,21075.07,
Alto Piquiri,4100707,alto-piquirense,GIOVANE MENDES DE CARVALHO,447.666,9727,21.73,97.7,0.676,7.58,33578.9144,30480.36361,35792.24,
Alvorada do Sul,4100806,alvoradense-do-sul,MARCOS ANTONIO VOLTARELLI,424.250,10326,24.34,97.4,0.708,-,38595.7058,32758.45843,31448.37,
Amapor&atilde;,4100905,amaporense,MAURO LEMOS,384.735,4762,12.38,98.3,0.669,-,23652.63869,19791.33832,19169.32,
Amp&eacute;re,4101002,amperense,DISNEI LUQUINI,298.349,19620,65.76,99.3,0.709,3.62,53952.96976,47302.73743,33663.05,
Anahy,4101051,anaiense,CARLOS ANTONIO REIS,102.895,2918,28.36,97.4,0.695,-,16524.26347,13907.21309,43281.18,
Andir&aacute;,4101101,andiraense,IONE ELISABETH ALVES ABIB,235.944,19878,84.25,99.1,0.725,13.27,76575.51877,64662.02459,39411.87,
&Acirc;ngulo,4101150,angulense,ROG&Eacute;RIO APARECIDO BERNARDO,106.021,3235,30.51,100,0.721,-,22532.87433,17528.14675,47666.31,
Antonina,4101200,antoninense,JOS&Eacute; PAULO VIEIRA AZIM,891.582,18091,20.29,97.6,0.687,-,54850.93103,50220.65781,30251.42,
Ant&ocirc;nio Olinto,4101309,antoniolintense,ALAN JAROS,469.620,7018,14.94,98.6,0.656,13.33,23695.77347,20198.7081,28833.44,
Apucarana,4101408,apucaranense,SEBASTIAO FERREIRA MARTINS JUNIOR,556.990,130134,233.64,97.8,0.748,10.63,333503.24963,302077.09003,24507.46,
Arapongas,4101507,araponguense,SERGIO ONOFRE DA SILVA,382.215,119138,311.70,97.3,0.748,8.01,311862.45872,282449.51696,35763.17,
Arapoti,4101606,arapotiense,IRANI JOSE BARROS,1358.176,25777,18.98,97.7,0.723,16.57,95686.15669,76735.60762,45222.72,
Arapu&atilde;,4101655,arapuense,DEODATO MATIAS,217.371,3527,16.23,97.1,0.676,-,17607.90099,15645.49382,42448.85,
Araruna,4101705,ararunense,LEANDRO CESAR DE OLIVEIRA,493.191,14485,29.37,99.1,0.704,-,47109.10876,43286.37144,38106.60,
Arauc&aacute;ria,4101804,araucariano,HISSAM HUSSEIN DEHAINI,469.240,151666,323.22,97.4,0.740,6.4,1031236.18221,713669.69042,134901.01,
Ariranha do Iva&iacute;,4101853,ariranhense do iva&iacute;,THIAGO EPIFANIO DA SILVA,234.076,2329,9.95,99.4,0.670,-,17929.99824,13204.38201,60657.48,
Assa&iacute;,4101903,assaiense,MICHEL ANGELO BOMTEMPO,440.347,13797,31.33,98,0.728,6.49,47740.25987,39980.4735,33138.39,
Assis Chateaubriand,4102000,assis-chateaubriense,VALTER APARECIDO SOUZA CORREIA,980.727,36808,37.53,98.6,0.729,6.88,110029.77719,93861.28847,41822.91,
Astorga,4102109,astorgano,SUZIE APARECIDA PUCILLO ZANATTA,434.792,25475,58.59,97.4,0.747,21.28,81604.54154,69112.08505,33123.48,
Atalaia,4102208,atalaiense,CARLOS EDUARDO ARMELIN MARIANI,137.663,3980,28.91,99.6,0.736,-,22112.7648,19697.19113,47593.53,
Balsa Nova,4102307,balsa-novense,MARCOS ANTONIO ZANETTI,348.926,13395,38.39,87.4,0.696,19.35,53670.59253,45954.50726,54374.33,
Bandeirantes,4102406,bandeirantense,JAELSON RAMALHO MATTA,445.192,31273,70.25,97.8,0.727,5.17,73915.03994,63634.5801,32178.42,
Barbosa Ferraz,4102505,barbosense,EDENILSON APARECIDO MILIOSSI,538.636,10795,20.04,98.2,0.696,-,36116.20339,31640.69078,24656.06,
Barrac&atilde;o,4102604,barraconense,JORGE LUIZ SANTIN,161.213,9759,60.53,95.3,0.706,-,39271.02329,33672.37782,26002.93,
Barra do Jacar&eacute;,4102703,barrense,EDIMAR DE FREITAS ALBONETI,115.855,2814,24.29,98.7,0.744,-,16904.05899,13728.96018,44296.46,
Bela Vista da Caroba,4102752,bela-vistense,GELSON MAFFI,148.107,4031,27.22,99.5,0.681,25,16979.21179,13878.83643,27178.16,
Bela Vista do Para&iacute;so,4102802,bela-vistense,FABRICIO PASTORE,242.689,14833,61.12,97.3,0.716,19.35,44196.64293,36909.66925,34254.32,
Bituruna,4102901,biturenense,RODRIGO ROSSONI,1234.946,15533,12.58,98.2,0.667,14.87,54066.00709,47507.87074,27047.59,
Boa Esperan&ccedil;a,4103008,boa-esperansense,JOEL CELSO BUSCARIOL,302.739,4558,15.06,99,0.720,-,23815.23761,20710.11438,68257.95,
Boa Esperan&ccedil;a do Igua&ccedil;u,4103024,boaesperencense,GIVANILDO TRUMI,151.797,2455,16.17,98.3,0.700,-,18090.96703,15984.69558,47668.10,
Boa Ventura de S&atilde;o Roque,4103040,boa venturense,EDSON FL&Aacute;VIO HOFFMANN,620.453,6378,10.28,97.5,0.655,23.26,31809.68918,23937.45271,47237.13,
Boa Vista da Aparecida,4103057,boa-vistense,LEONIR ANTUNES DOS SANTOS,266.175,7924,29.77,99.2,0.670,-,29754.88719,29694.59198,23951.05,
Bocai&uacute;va do Sul,4103107,bocaiuvense,ANTONIO LUIZ GUSSO,825.665,13281,16.09,95.1,0.640,15.31,33981.14629,27294.50966,17752.38,
Bom Jesus do Sul,4103156,bonjesuense,HELIO JOSE SURDI,176.129,3980,22.60,99.4,0.697,-,19948.46221,17631.48328,26171.87,
Bom Sucesso,4103206,bom-sucessense,RAIMUNDO SEVERIANO DE ALMEIDA JUNIOR,322.755,6581,20.39,95.5,0.686,-,27358.73939,24688.72162,20863.76,
Bom Sucesso do Sul,4103222,bomsucessense do sul,NILSON ANTONIO FEVERSANI,195.931,3202,16.34,98.3,0.742,-,22286.35576,18117.63482,80669.52,
Borraz&oacute;polis,4103305,borrazopolitano,DALTON FERNANDES MOREIRA,334.378,7735,23.13,99,0.717,12.66,23979.11338,19373.08251,35872.73,
Braganey,4103354,braganense,ODAIR GUERREIRO OLIVEIRA,343.321,4854,14.14,98,0.701,-,23080.73628,17629.07055,45488.11,
Brasil&acirc;ndia do Sul,4103370,brasilandiense,ALEX ANTONIO CAVALCANTE,291.036,3708,12.74,97.8,0.681,23.81,23381.87059,21465.422,84215.69,
Cafeara,4103404,cafearense,ELTON FABIO LAZARETTI,185.800,2627,14.14,99.5,0.693,-,16859.40046,14641.14835,26072.93,
Cafel&acirc;ndia,4103453,cafelandense,CULESTINO KIARA,274.904,18997,69.10,98,0.748,3.15,74075.55686,60227.67424,113468.44,
Cafezal do Sul,4103479,cafezalense,MARIO JUNIO KAZUO DA SILVA,335.392,4473,13.34,98.4,0.692,15.38,19863.67722,19078.61298,32588.40,
Calif&oacute;rnia,4103503,californiano,PAULO WILSON MENDES,141.817,8710,61.42,97.2,0.722,25.42,27659.24936,21097.54658,25365.67,
Cambar&aacute;,4103602,cambaraense,JOS&Eacute; SALIM HAGGI NETO,366.153,23210,63.39,97.3,0.721,10.75,75318.25344,55466.07134,31395.74,
Camb&eacute;,4103701,cambeense,CONRADO &Acirc;NGELO SCHELLER,495.375,107208,216.42,97.5,0.734,7.26,285940.19392,248791.5082,43317.49,
Cambira,4103800,cambirense,EMERSON TOLEDO PIRES,164.786,9460,57.41,97.5,0.725,-,26273.58534,21131.9679,31027.22,
Campina da Lagoa,4103909,campinense-da-lagoa,MILTON LUIZ ALVES,796.614,15723,19.74,97.3,0.704,20.41,48287.58412,40522.95684,39228.76,
Campina do Sim&atilde;o,4103958,campineiro do sim&atilde;o,ANDR&Eacute; JUNIOR DE PAULA,448.424,3936,8.78,98.4,0.630,-,22366.71652,20245.09941,33865.26,
Campina Grande do Sul,4104006,campinense-do-sul,BIHL ELERIAN ZANETTI,539.245,47799,88.64,98,0.718,8.8,146811.35667,115275.2415,39962.74,
Campo Bonito,4104055,campo-bonitense,MARIO WEBER,433.832,4027,9.28,97.4,0.681,-,24283.5252,19430.62493,63941.17,
Campo do Tenente,4104105,tenentiano,WEVERTON WILLIAN VIZENTIN,304.488,7508,24.66,98.7,0.686,18.02,24380.72221,22983.35229,25714.04,
Campo Largo,4104204,campo-larguense,MAUR&Iacute;CIO ROBERTO RIVABEM,1243.551,136327,109.63,97.7,0.745,10.7,334617.81068,263348.38055,35257.96,
Campo Magro,4104253,campomagrense,CLAUDIO CESAR CASAGRANDE,275.352,29879,108.51,96.1,0.701,5.31,70517.06947,66764.12173,16886.79,
Campo Mour&atilde;o,4104303,mour&atilde;oense,TAUILLO TEZELLI,749.637,99432,132.64,98.2,0.757,11.97,325876.0211,263940.0456,48044.40,
C&acirc;ndido de Abreu,4104402,c&acirc;ndido-abreuense,RENAN MENCK ROMANICHEN,1510.160,15244,10.09,98.1,0.629,10.36,44514.10934,39540.31021,26109.08,
Cand&oacute;i,4104428,candoianos,ALDOINO GOLDONI FILHO,1512.786,14973,9.90,93.8,0.635,9.26,62024.48056,45619.27801,45172.98,
Cantagalo,4104451,cantagalense,JO&Atilde;O KONJUNSKI,583.304,10933,18.74,96,0.635,13.25,37515.04895,33100.62622,22938.84,
Capanema,4104501,capanemense,AMERICO BELLE,419.036,20481,48.88,98.2,0.706,8.2,63634.53021,52869.59706,41763.44,
Capit&atilde;o Le&ocirc;nidas Marques,4104600,le&ocirc;nidas-marquesiense,MAXWELL SCAPINI,280.063,14648,52.30,98.2,0.716,15.63,54181.82619,44754.17599,88037.48,
Carambe&iacute;,4104659,carambiense,ELISANGELA PEDROSO DE OLIVEIRA NUNES,649.680,23283,35.84,98.2,0.728,8.67,85492.76962,75170.97805,61284.85,
Carl&oacute;polis,4104709,carlopolitano,HIROSHI KUBO,451.418,16905,37.45,98.1,0.713,9.9,39762.4564,32200.5857,27951.87,
Cascavel,4104808,cascavelense,LEONALDO PARANHOS DA SILVA,2091.199,348051,166.44,98.1,0.782,7.09,962657.58077,805933.7399,42593.14,
Castro,4104907,castrense,MOACYR ELIAS FADEL JUNIOR,2531.503,73044,28.85,97.2,0.703,8.88,214539.00,176703.13882,45840.39,
Catanduvas,4105003,catanduvense,MOISES APARECIDO DE SOUZA,580.421,10446,18.00,97.8,0.678,-,31959.51902,25617.01953,34208.67,
Centen&aacute;rio do Sul,4105102,centenariense,MELQUIADES TAVIAN JUNIOR,371.834,10832,29.13,97.9,0.668,-,33044.34839,29330.14889,25652.14,
Cerro Azul,4105201,cerro-azulense,PATRIK MAGARI,1341.189,16134,12.03,92.9,0.573,-,45669.89414,40136.50712,19689.69,
C&eacute;u Azul,4105300,c&eacute;u-azulense,LAURINDO SPEROTTO,1179.449,11087,9.40,98.4,0.732,9.17,51371.45943,44429.249,68194.17,
Chopinzinho,4105409,chopinzinhense,EDSON LUIZ CENCI,959.692,21079,21.96,98.1,0.740,7.55,85971.58126,71992.95039,44203.04,
Cianorte,4105508,cianortense,MARCO ANTONIO FRANZATO,811.666,79527,97.98,98.2,0.755,10.76,283157.49013,248120.80945,32063.31,
Cidade Ga&uacute;cha,4105607,cidade-gauchense ou citadino,HENRIQUE DOMINGUES,403.045,11467,28.45,98.5,0.718,6.9,37818.07454,34806.09798,32914.70,
Clevel&acirc;ndia,4105706,clevelandense,RAFAELA MARTINS LOSI,703.638,15070,21.42,96,0.694,23.26,54997.73135,46848.90778,36271.28,
Colombo,4105805,colombense,HELDER LUIZ LAZAROTTO,197.580,232056,1174.49,96.6,0.733,8.21,407967.01225,356978.85096,20107.90,
Colorado,4105904,colorado,MARCOS JOS&Eacute; CONSALTER DE MELLO,407.568,22896,56.18,98.1,0.730,13.89,85272.00514,70195.43477,29678.38,
Congonhinhas,4106001,congonhinhense,JOS&Eacute; OLEG&Aacute;RIO RIBEIRO LOPES,535.963,8320,15.52,98.7,0.668,-,28467.00531,21350.00712,29826.16,
Conselheiro Mairinck,4106100,mairinquense,ALEX SANDRO PEREIRA COSTA DOMINGUES,204.705,3461,16.91,98.7,0.707,-,16124.20854,14861.85142,30444.44,
