Rio Grande do Norte | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2021],&Aacute;rea Territorial - km&sup2; [2022],Popula&ccedil;&atilde;o residente - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2020],Receitas realizadas - R$ (&times;1000) [2017],Despesas empenhadas - R$ (&times;1000) [2017],PIB per capita - R$ [2020],
Acari,2400109,acariense,FERNANDO ANTONIO BEZERRA,608.466,10597,17.42,97.6,0.679,-,26943.45359,23825.10614,11857.64,
A&ccedil;u,2400208,a&ccedil;uense,GUSTAVO MONTENEGRO SOARES,1303.442,56502,43.35,97.6,0.661,11.76,107791.0353,98919.77871,20041.15,
Afonso Bezerra,2400307,afonso-bezerrense,JOAO BATISTA DA CUNHA NETO,576.179,10839,18.81,98.8,0.585,-,33903.89094,34590.47519,12589.17,
&Aacute;gua Nova,2400406,&aacute;gua-novense,FRANCISCO RONALDO DE SOUZA,50.684,2946,58.12,99.2,0.616,27.78,14214.25207,14059.26223,10296.97,
Alexandria,2400505,alexandrinense,JEANE CARLINA SARAIVA E FERREIRA DE SOUZA,381.205,13640,35.78,97.5,0.606,-,44435.81559,42149.27432,11579.11,
Almino Afonso,2400604,almino-afonsense,J&Eacute;SSICA LOURINE DE ASSIS AMORIM,128.038,4687,36.61,95.5,0.624,-,17341.64717,16151.62121,10056.04,
Alto do Rodrigues,2400703,alto-rodriguense,NIXON DA SILVA BARACHO,191.334,12484,65.25,97.3,0.672,5.52,47612.31987,47626.29166,36375.17,
Angicos,2400802,angicano,MIGUEL PINHEIRO NETO,741.582,11632,15.69,96.5,0.624,6.99,25571.17511,20119.03344,15386.34,
Ant&ocirc;nio Martins,2400901,ant&ocirc;nio-martinense,JORGE VINICIUS DE OLIVEIRA FERNANDES,244.897,6577,26.86,98,0.578,45.45,17039.97627,15756.95677,8716.00,
Apodi,2401008,apodiense,ALAN JEFFERSON DA SILVEIRA PINTO,1602.477,36094,22.52,97.2,0.639,2.27,65151.72813,61116.86361,15230.92,
