Rio Grande do Sul | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2021],&Aacute;rea Territorial - km&sup2; [2022],Popula&ccedil;&atilde;o residente - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2020],Receitas realizadas - R$ (&times;1000) [2017],Despesas empenhadas - R$ (&times;1000) [2017],PIB per capita - R$ [2020],
Acegu&aacute;,4300034,aceguaense,MARCUS VIN&Iacute;CIUS GODOY DE AGUIAR,1551.339,4170,2.69,93.9,0.687,19.23,26548.53375,23549.10968,53517.90,
&Aacute;gua Santa,4300059,&aacute;gua-santense,EDUARDO PICOLOTTO,291.503,3912,13.42,98.5,0.750,38.46,25897.40087,20012.52985,92000.57,
Agudo,4300109,agudense,LUIS HENRIQUE KITTEL,534.624,16039,30.00,96.5,0.694,5.68,63192.46487,51366.67337,33038.55,
Ajuricaba,4300208,ajuricabense,IVAN CHAGAS,322.674,6720,20.83,98.5,0.753,16.67,26396.04314,21630.98289,46898.22,
Alecrim,4300307,alecrinense,ELMO ANASTACIO DULLIUS,316.394,6123,19.35,97.1,0.672,20.41,22917.27603,20554.57376,22720.69,
Alegrete,4300406,alegretense,M&Aacute;RCIO FONSECA DO AMARAL,7800.428,72409,9.28,98.9,0.740,7.63,225019.54108,199319.40583,30635.42,
Alegria,4300455,alegriense,TERESINHA MARCZEWSKI ZAVASKI,172.794,3651,21.13,98.9,0.695,-,21841.34483,17891.13949,37816.35,
Almirante Tamandar&eacute; do Sul,4300471,tamandarense,ADIR GIACOMINI,265.042,1969,7.43,100,0.740,62.5,16595.42398,13286.48947,94337.32,
Alpestre,4300505,alpestrense,VALDIR JOS&Eacute; ZASSO,325.979,7117,21.83,98.1,0.671,13.33,50164.46672,39342.56205,87494.79,
Alto Alegre,4300554,alto-alegrense,AVELINO SALVADORI,115.335,1800,15.61,98.1,0.747,-,14976.0642,13265.16596,34411.08,
