Cidade;UF;População;Possui Plano Municipal;População sem Água;População sem Esgoto;População sem coleta de lixo;Domicílios sujeitos à inundações
"Abadia de Goiás";"GO";"9158";"Sim";"28,06%";"64%";"31,97%";"Não há"
"Abadia dos Dourados";"MG";"7022";"Em elaboração";"42,88%";"--";"37,51%";"--"
"Abadiânia";"GO";"20873";"Não";"2,92%";"32,95%";"Atendimento Pleno";"--"
"Abaeté";"MG";"23263";"Sim";"15,34%";"90,83%";"13,16%";"0,7%"
"Abaetetuba";"PA";"160439";"Em elaboração";"87,04%";"--";"28,84%";"0,9%"
"Abaiara";"CE";"11965";"Não";"69,01%";"--";"56,63%";"--"
"Abaíra";"BA";"8681";"Não";"--";"--";"--";"--"
"Abaré";"BA";"20594";"Não";"40,29%";"68,35%";"--";"--"
"Abatiá";"PR";"7360";"Não";"Atendimento Pleno";"81,66%";"26,63%";"Não há"
"Abdon Batista";"SC";"2534";"Sim";"Atendimento Pleno";"72,69%";"49,72%";"Não há"
"Abel Figueiredo";"PA";"7536";"Sim";"11%";"--";"Atendimento Pleno";"2%"
"Abelardo Luz";"SC";"18015";"Sim";"29,66%";"--";"44,04%";"0,4%"
"Abre Campo";"MG";"13434";"Sim";"30,36%";"30,36%";"18,04%";"1,9%"
"Abreu e Lima";"PE";"100698";"Não";"12,01%";"76,64%";"1%";"17,8%"
"Abreulândia";"TO";"2609";"Não";"38,25%";"--";"38,25%";"Não há"
"Acaiaca";"MG";"3995";"Sim";"1,88%";"36,1%";"0,13%";"56,5%"
"Açailândia";"MA";"113783";"Não";"-7,7%";"98,61%";"2,45%";"7,9%"
"Acajutiba";"BA";"15214";"Não";"13,02%";"--";"7,98%";"Não há"
"Acará";"PA";"55744";"Não";"86,28%";"--";"--";"--"
"Acarape";"CE";"15140";"Em elaboração";"65,95%";"89,04%";"40,42%";"Não há"
"Acaraú";"CE";"63556";"Em elaboração";"68,22%";"94,84%";"50,93%";"Não há"
"Acari";"RN";"11106";"Em elaboração";"5,22%";"19,33%";"18,96%";"4,6%"
"Acauã";"PI";"7119";"Em elaboração";"70,29%";"--";"71,91%";"Não há"
