Santa Catarina | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2021],&Aacute;rea Territorial - km&sup2; [2022],Popula&ccedil;&atilde;o residente - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2020],Receitas realizadas - R$ (&times;1000) [2017],Despesas empenhadas - R$ (&times;1000) [2017],PIB per capita - R$ [2020],
Abdon Batista,4200051,abdonense,JADIR LUIZ DE SOUZA,237.517,2598,10.94,100,0.694,-,23228.89256,18399.70671,24358.67,
Abelardo Luz,4200101,abelardense,NERCI SANTIN,953.992,17392,18.23,97.1,0.696,-,62978.7649,54531.83536,44568.35,
Agrol&acirc;ndia,4200200,agrolandense,JOS&Eacute; CONSTANTE,206.815,10990,53.14,97,0.725,-,31019.33416,28123.29815,27381.60,
Agron&ocirc;mica,4200309,agronomense,CESAR LUIZ CUNHA,129.774,6055,46.66,94.4,0.741,12.99,20069.01248,17786.6489,33936.32,
&Aacute;gua Doce,4200408,&aacute;gua-docense,NELCI F&Aacute;TIMA TRENTO BORTOLINI,1319.137,6508,4.93,97.9,0.698,-,36852.2711,29718.55841,76341.09,
&Aacute;guas de Chapec&oacute;,4200507,aguense,LEONIR ANT&Ocirc;NIO HENTGES,139.511,6036,43.27,99.3,0.713,-,19632.02159,16715.00412,18199.70,
&Aacute;guas Frias,4200556,&aacute;guasfriense,LUIZ JOS&Eacute; DAGA,76.631,2839,37.05,100,0.745,-,16779.53419,13446.36895,53851.29,
&Aacute;guas Mornas,4200606,&aacute;guas-mornense,OMERO PRIM,326.660,6743,20.64,98.7,0.723,-,22341.68119,18529.15137,27461.67,
Alfredo Wagner,4200705,alfredense,GILMAR SANI,733.489,10481,14.29,92.8,0.668,21.05,27865.23225,24745.22628,31544.28,
Alto Bela Vista,4200754,bela-vistense,ELTON MATTES,103.433,1856,17.94,98.7,0.755,-,17697.95946,15207.1278,37639.17,
Anchieta,4200804,anchietense,IVAN JOS&Eacute; CANCI,232.348,5943,25.58,99.8,0.699,18.52,21139.56862,18767.7054,31585.70,
Angelina,4200903,angelinense,ROSELI ANDERLE,499.998,5358,10.72,99.3,0.687,-,22846.55799,17417.94095,31486.10,
Anita Garibaldi,4201000,anita-garibaldense,JO&Atilde;O CIDINEI DA SILVA,589.812,8285,14.05,96.1,0.688,-,26288.64577,26259.92205,25996.24,
Anit&aacute;polis,4201109,anitapolitano,SOLANGE BACK,540.636,3593,6.65,98.5,0.674,-,18782.75481,14616.07533,20782.17,
Ant&ocirc;nio Carlos,4201208,ant&ocirc;nio-carlense,GERALDO PAULI,234.422,11224,47.88,96.5,0.749,14.81,41263.06961,34036.05703,91539.94,
Api&uacute;na,4201257,apiunense,MARCELO DOUTEL DA SILVA,493.490,9811,19.88,97.8,0.708,8.7,44220.63189,37980.35868,34257.35,
Arabut&atilde;,4201273,arabutanense,LEANI KAPP SCHMITT,132.779,4378,32.97,99.6,0.733,22.73,22875.74556,19242.32116,48230.25,
