S&atilde;o Paulo | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2021],&Aacute;rea Territorial - km&sup2; [2022],Popula&ccedil;&atilde;o residente - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2020],Receitas realizadas - R$ (&times;1000) [2017],Despesas empenhadas - R$ (&times;1000) [2017],PIB per capita - R$ [2020],
Adamantina,3500105,adamantinense,MARCIO CARDIM,411.987,34687,84.19,97.6,0.790,2.61,160718.67925,137083.66993,35788.26,
Adolfo,3500204,adolfino,IZAEL ANTONIO FERNANDES,211.055,4351,20.62,98.6,0.730,-,27333.74731,20103.87713,38464.09,
Agua&iacute;,3500303,aguaiano,JOS&Eacute; ALEXANDRE PEREIRA DE ARA&Uacute;JO,474.554,32072,67.58,95.8,0.715,10.44,84094.76006,72168.73408,31446.28,
&Aacute;guas da Prata,3500402,pratense,REGINA HELENA JANIZELO MORAES,142.673,7369,51.65,98.8,0.781,-,29390.24814,24363.40149,22718.42,
&Aacute;guas de Lind&oacute;ia,3500501,lindoiense,GILBERTO ABDOU HELOU,60.126,17829,296.53,96.2,0.745,4.02,86949.22213,75201.47793,26418.38,
&Aacute;guas de Santa B&aacute;rbara,3500550,santa-barbarense,AROLDO JOSE CAETANO,404.463,7177,17.74,98.2,0.757,13.89,34484.19534,28471.94804,32824.76,
&Aacute;guas de S&atilde;o Pedro,3500600,&aacute;gua-pedrense,JO&Atilde;O VICTOR BARBOZA,3.612,2780,769.66,98.4,0.854,-,25157.75668,22709.99284,39186.70,
Agudos,3500709,agudense,FERNANDO OCTAVIANI,966.708,37680,38.98,97.9,0.745,20.37,159980.62054,143417.68289,61799.10,
Alambari,3500758,alambariense,JO&Atilde;O PAULO DANTAS PINTO,159.600,6141,38.48,99.3,0.712,-,23710.99557,21839.01214,19832.91,
Alfredo Marcondes,3500808,marcondense,CELSO PIRANI PASSOS,118.915,4445,37.38,98.6,0.741,25,16478.9668,15111.97897,26263.11,
Altair,3500907,altairense,MARCO ANTONIO FERREIRA,313.007,3451,11.03,96,0.687,-,22318.94651,19410.76045,26679.18,
Altin&oacute;polis,3501004,altinopolense,JOS&Eacute; ROBERTO FERRACIN MARQUES,928.956,16818,18.10,99.3,0.730,18.29,72144.19151,55436.05472,40198.44,
Alto Alegre,3501103,alto-alegrense,CARLOS SUSSUMI IVAMA,318.574,3841,12.06,95.1,0.700,27.03,20846.4169,18236.22271,28574.33,
Alum&iacute;nio,3501152,aluminense,ANTONIO PIASSENTINI,83.619,17301,206.90,98.8,0.766,14.93,75397.42207,72572.58372,119952.09,
&Aacute;lvares Florence,3501202,alvares florencense,ADILSON BATISTA LEITE,362.411,3915,10.80,99.3,0.728,-,20470.81479,18241.10731,30750.75,
&Aacute;lvares Machado,3501301,machadense,ROGER FERNANDES GASQUES,347.647,27245,78.37,98.3,0.758,9.4,62881.3731,60296.9844,24598.56,
&Aacute;lvaro de Carvalho,3501400,carvalhense,ADILSON DE OLIVEIRA LOPES,153.662,4808,31.29,99.2,0.688,-,17943.08204,16441.13972,10112.46,
Alvinl&acirc;ndia,3501509,alvinlandense,ABIGAIL CATELI DIAS,84.879,2885,33.99,99.3,0.722,-,15306.4017,12940.54398,17789.73,
Americana,3501608,americanense,FRANCISCO ANTONIO SARDELLI,133.912,237247,1771.66,98,0.811,6.6,774032.5912,709743.8111,49907.97,
Am&eacute;rico Brasiliense,3501707,am&eacute;rico-brasiliense,DIRCEU BRAS PANO,122.958,33019,268.54,98.6,0.751,9.66,99791.19948,100799.16438,26705.95,
Am&eacute;rico de Campos,3501806,americampense,CARLOS ROBERTO ACHILLES,252.876,5870,23.21,98.2,0.745,-,23218.51517,21406.83023,18248.55,
Amparo,3501905,amparense,CARLOS ALBERTO MARTINS,445.323,68008,152.72,95.7,0.785,9.03,262299.66169,240727.95422,63521.24,
Anal&acirc;ndia,3502002,analandense,PAULO HENRIQUE FRANCESCHINI,325.953,4589,14.08,99.7,0.754,-,31224.86385,30967.5513,38762.45,
Andradina,3502101,andradinense,MARIO CELSO LOPES,964.226,59783,62.00,98.2,0.779,6.24,166955.27105,147353.21707,46733.61,
Angatuba,3502200,angatubense,NICOLAS BASILE ROCHEL,1027.288,24022,23.38,98.3,0.719,15.82,82865.40739,67670.71997,51817.83,
Anhembi,3502309,anhembiense,LINDEVAL AUGUSTO MOTA,736.557,5674,7.70,97.2,0.721,-,31346.97388,29907.98478,22752.36,
Anhumas,3502408,anhumense,ADAILTON CESAR MENOSSI,320.840,4023,12.54,98.3,0.741,-,19928.85581,17614.83672,20017.33,
Aparecida,3502507,aparecidense,LUIZ CARLOS DE SIQUEIRA,120.890,32569,269.41,98.4,0.755,14.2,111612.76459,98271.14272,27206.69,
Aparecida d'Oeste,3502606,aparecidense,IZAIAS APARECIDO SANCHEZ,179.004,4086,22.83,97.7,0.721,29.41,19560.67564,17744.29241,37490.85,
Apia&iacute;,3502705,apiaiense,S&Eacute;RGIO VICTOR BORGES BARBOSA,974.322,24585,25.23,97.3,0.710,2.75,71090.28962,65066.6608,29682.44,
Ara&ccedil;ariguama,3502754,ara&ccedil;ariguamense,RODRIGO DE ANDRADE,145.204,21522,148.22,98.2,0.704,14.97,109901.4892,98903.72356,140809.35,
Ara&ccedil;atuba,3502804,ara&ccedil;atubense,DILADOR BORGES DAMASCENO,1167.126,200124,171.47,97.6,0.788,11.82,524096.05565,489799.65507,41913.02,
Ara&ccedil;oiaba da Serra,3502903,ara&ccedil;oiabano,JOSE CARLOS DE QUEVEDO JUNIOR,255.305,32443,127.08,99.4,0.776,2.83,137563.59258,82577.97635,28068.97,
Aramina,3503000,araminense,MARIA MADALENA DA SILVA,202.829,5420,26.72,98.7,0.740,-,23826.00133,21844.4276,27533.57,
Arandu,3503109,aranduense,FLAVIO CARLOMAGNO GALHEGO,285.908,6885,24.08,98.4,0.685,-,30445.16322,30414.49906,28695.30,
Arape&iacute;,3503158,arapeiense,REN&Ecirc; L&Uacute;CIO GON&Ccedil;ALVES,156.903,2330,14.85,98.7,0.680,-,15297.20594,12647.83575,16212.51,
Araraquara,3503208,araraquarense,EDSON ANT&Ocirc;NIO EDINHO DA SILVA,1003.625,242228,241.35,98.7,0.815,8.91,813194.67742,797613.15061,44813.53,
Araras,3503307,ararense,PEDRO ELISEU FILHO,644.831,130866,202.95,97.5,0.781,8.01,543415.814,472762.51826,47779.64,
Arco-&Iacute;ris,3503356,arcoirense,ALDO MANSANO FERNANDES,264.904,2044,7.72,99.1,0.722,-,14876.26005,12391.60573,47412.65,
Arealva,3503406,arealvense,ELSON BANUTH BARRETO,506.226,8130,16.06,99.6,0.744,18.18,28042.66791,23704.69254,28362.70,
Areias,3503505,areiense,PAULO HENRIQUE DE SOUZA COUTINHO,305.227,3577,11.72,96.8,0.697,-,17339.9579,15918.97697,14580.15,
Arei&oacute;polis,3503604,areiopolitano,ANTONIO MARCOS DOS SANTOS,85.907,10130,117.92,97.3,0.695,7.75,31683.03985,27659.50588,13182.41,
